"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2008-2020";"Total since 2004"
"AT";"Constantin Film (AT)";"03/09/2004";"19 965";"8 724";"384";"497";"";"";"";"";"";"";"";"";"";"";"";"";"";"29 570"
"BE";"Alternative Films (BE)";"17/03/2004";"168 945";"29 398";"7 979";"1 238";"";"";"";"";"";"";"";"";"407";"280";"";"";"687";"208 247"
"CH";"Eigenverleih/Propre distrib./Prod. Distrib";"31/03/2004";"211 514";"17 709";"";"57";"199";"21";"95";"24";"229";"75";"67";"";"";"";"";"";"710";"229 990"
"CZ";"Bontonfilm";"11/11/2004";"6 234";"9 803";"3 214";"929";"385";"156";"62";"";"";"";"";"";"";"";"";"";"603";"20 783"
"DE";"Constantin Film (DE)";"02/09/2004";"864 718";"185 854";"";"";"";"";"";"";"";"";"782";"601";"205";"140";"10";"";"1 738";"1 052 310"
"DK";"Camera Film";"17/06/2005";"";"15 358";"739";"133";"297";"";"65";"";"";"";"";"";"";"";"";"";"362";"16 592"
"ES";"Alta Classics";"02/12/2004";"443 681";"1 086 732";"81";"38";"3";"29";"";"";"116";"4";"108";"";"";"";"";"";"260";"1 530 792"
"FI";"Kamras Film Group";"17/09/2004";"8 123";"9 036";"1 295";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 454"
"FR";"Pathé Distribution (FR)";"17/03/2004";"8 355 432";"";"1 060";"";"";"";"";"";"";"";"";"";"";"";"";"325";"325";"8 356 817"
"GB";"Pathé Distribution (GB)";"11/03/2005";"";"229 125";"";"";"";"";"";"";"";"";"11";"349";"55";"";"";"268";"683";"229 808"
"GR";"Rosebud";"11/02/2005";"";"76 475";"7 763";"4 748";"";"";"";"";"";"";"";"";"";"";"";"";"";"88 986"
"HU";"Budapestfilm";"";"4 571";"";"";"159";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 730"
"IE";"Pathé Distribution (IE)";"11/03/2005";"";"15 555";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 555"
"IS";"";"";"";"1 815";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 815"
"IT";"Filmauro";"29/10/2004";"176 700";"35 460";"23 453";"689";"156";"";"160";"";"126";"";"";"";"78";"";"60";"";"580";"236 882"
"LT";"ACME / Studio Canal";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"10";"10"
"LU";"Alternative Film (LU)";"17/03/2004";"2 010";"51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 061"
"LV";"Acme (LV)";"09/12/2005";"";"855";"177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 032"
"NL";"A-Film (NL)";"15/07/2004";"7 069";"6 591";"1 290";"159";"436";"99";"305";"33";"";"265";"";"";"";"";"";"";"1 138";"16 247"
"NO";"Fidalgo";"05/11/2004";"24 455";"";"109";"476";"166";"55";"";"";"";"";"";"";"";"";"";"";"221";"25 261"
"PL";"Monolith Plus";"22/10/2004";"15 918";"10 346";"1 980";"2 655";"3 333";"1 327";"3 174";"1 449";"";"2 196";"";"";"";"";"";"";"11 479";"42 378"
"PT";"New Age Entertainment";"11/11/2004";"13 955";"";"";"";"45";"";"";"";"";"";"";"";"";"";"";"";"45";"14 000"
"RO";"IF-Independenta Film";"19/08/2005";"";"2 361";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 401"
"SE";"Triangelfilm";"15/10/2004";"24 354";"11 392";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35 746"
"SI";"Fivia";"03/02/2005";"";"4 058";"334";"638";"171";"4";"205";"";"180";"";"";"";"";"";"";"";"560";"5 590"
"SK";"Tatra Film";"20/01/2005";"";"2 030";"141";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 171"
"TR";"Medyavizyon";"29/04/2005";"";"32 489";"";"";"166";"";"";"";"";"";"";"";"";"";"";"";"166";"32 655"
"EUR EU";"";"";"10 111 675";"1 739 204";"49 930";"11 883";"4 826";"1 615";"3 981";"1 482";"422";"2 465";"901";"950";"745";"420";"70";"593";"18 470";"11 931 162"
"EUR OBS";"";"";"10 347 644";"1 791 217";"50 039";"12 416";"5 357";"1 691";"4 076";"1 506";"651";"2 540";"968";"950";"745";"420";"70";"593";"19 567";"12 220 883"
"US_CA";"";"";"324 798";"567 108";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"891 906"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21938"
