"Market";"Distributor";"Release date";"2006";"2007";"Total since 2006"
"AT";"Universal Pictures (AT)";"26/10/2006";"460 671";"17 148";"477 819"
"CH";"Universal Pictures (CH)";"26/10/2006";"157 003";"1 752";"158 755"
"DE";"UIP (DE)";"26/10/2006";"3 509 341";"70 643";"3 579 984"
"LU";"";"27/10/2006";"16 300";"";"16 300"
"PL";"Kino Swiat";"24/08/2007";"";"110 684";"110 684"
"EUR EU";"";"";"3 986 312";"198 475";"4 184 787"
"EUR OBS";"";"";"4 143 315";"200 227";"4 343 542"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006"
" - film_id : 26468"
