"Market";"Distributor";"Release date";"2005";"2006";"2007";"2010";"2011";"2012";"2011-2012";"Total since 2005"
"AT";"20th Century Fox (AT)";"17/02/2006";"";"70 179";"";"";"";"";"";"70 179"
"BG";"Aleksandra";"18/11/2005";"17 313";"";"";"";"";"";"";"17 313"
"CH";"Elite Film";"18/11/2005";"";"73 195";"";"";"";"";"";"73 195"
"CZ";"Bontonfilm";"12/01/2006";"";"39 338";"45";"";"40";"40";"80";"39 463"
"DE";"20th Century Fox (DE)";"16/02/2006";"";"452 575";"";"";"";"";"";"452 575"
"DK";"Angel Films";"02/12/2005";"15 440";"1 982";"";"";"";"";"";"17 422"
"EE";"MPDE";"24/12/2005";"2 672";"";"";"";"";"";"";"2 672"
"ES";"Sony Pictures Releasing De Espana";"29/05/2006";"";"514 658";"";"12";"";"";"";"514 670"
"FI";"Scanbox Finland";"18/11/2005";"19 485";"4 369";"";"";"";"";"";"23 854"
"FR";"SND Films";"04/01/2006";"";"1 306 435";"";"";"";"";"";"1 306 435"
"GB";"Momentum Pictures (GB)";"14/10/2005";"528 793";"";"";"";"";"";"";"528 793"
"HU";"Forum-Hungary";"23/03/2006";"";"16 518";"";"";"";"";"";"16 518"
"IS";"";"";"6 177";"";"";"";"";"";"";"6 177"
"IT";"IIF - Italian International Film";"18/11/2005";"211 844";"1 653";"142";"";"";"";"";"213 639"
"LU";"";"30/12/2005";"";"13 700";"";"";"";"";"";"13 700"
"LV";"Acme (LV)";"23/12/2005";"2 787";"3 669";"";"";"";"";"";"6 456"
"NL";"Moonlight Films";"03/11/2005";"74 709";"2 711";"";"";"";"";"";"77 420"
"NO";"Scanbox Entertainment (NO)";"11/11/2005";"29 330";"4 797";"";"";"";"";"";"34 127"
"PL";"Monolith";"04/11/2005";"104 846";"4 456";"";"";"";"";"";"109 302"
"PT";"";"27/10/2005";"47 953";"";"";"";"";"";"";"47 953"
"RO";"Pro Video";"";"";"12 041";"";"";"";"";"";"12 041"
"SE";"Scanbox Entertainment (SE)";"11/11/2005";"16 031";"3 111";"";"";"";"";"";"19 142"
"SI";"Blitz Film & Video Distribution (SI)";"22/06/2006";"";"8 164";"33";"";"";"";"";"8 197"
"SK";"Tatra Film";"13/04/2006";"";"9 231";"";"";"";"";"";"9 231"
"TR";"Warner Bros. (TR)";"14/10/2005";"191 684";"";"";"";"";"";"";"191 684"
"EUR EU";"";"";"1 041 873";"2 464 790";"220";"12";"40";"40";"80";"3 506 975"
"EUR OBS";"";"";"1 269 064";"2 542 782";"220";"12";"40";"40";"80";"3 812 158"
"US_CA";"";"";"3 767 493";"";"";"";"";"";"";"3 767 493"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2007, 2006, 2005"
" - film_id : 24224"
