"Market";"Distributor";"Release date";"2001";"2002";"2003";"Total since 2001"
"AT";"";"";"305 209";"";"";"305 209"
"BE";"";"";"305 548";"";"";"305 548"
"BG";"Sunny";"28/09/2001";"38 808";"4 186";"43 047";"86 041"
"CH";"";"";"210 623";"2 277";"";"212 900"
"CY";"";"";"23 886";"15";"";"23 901"
"CZ";"Bontonfilm";"23/08/2001";"158 853";"";"567";"159 420"
"DE";"Concorde Filmverleih";"28/06/2001";"2 472 557";"";"22 402";"2 494 959"
"DK";"";"";"174 243";"86";"";"174 329"
"EE";"MPDE";"27/07/2001";"31 625";"";"";"31 625"
"ES";"";"";"2 193 869";"728";"1 888";"2 196 485"
"FI";"";"";"162 959";"";"";"162 959"
"FR";"";"";"2 466 424";"2 652";"8 318";"2 477 394"
"GB";"";"";"2 967 665";"";"";"2 967 665"
"HU";"";"";"318 987";"";"";"318 987"
"IS";"";"";"26 288";"";"";"26 288"
"IT";"";"";"806 627";"137 420";"";"944 047"
"LT";"";"";"40 914";"";"";"40 914"
"LU";"";"";"19 000";"";"";"19 000"
"LV";"";"";"28 770";"";"";"28 770"
"NL";"";"";"398 720";"";"";"398 720"
"NO";"";"";"184 387";"";"";"184 387"
"PL";"";"";"324 262";"236";"";"324 498"
"RO";"";"";"108 561";"13 120";"458";"122 139"
"SE";"";"";"241 234";"";"";"241 234"
"SI";"";"";"62 109";"";"";"62 109"
"TR";"";"";"312 295";"";"";"312 295"
"EUR EU";"";"";"13 650 830";"158 443";"76 680";"13 885 953"
"EUR OBS";"";"";"14 384 423";"160 720";"76 680";"14 621 823"
"US_CA";"";"";"24 335 448";"";"";"24 335 448"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2003, 2002, 2001"
" - film_id : 17255"
