"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2017";"Total since 2002"
"AT";"";"";"";"248 937";"";"";"";"248 937"
"BE";"";"";"363 802";"";"";"";"";"363 802"
"BG";"Sunny";"29/11/2002";"24 423";"32 430";"";"";"";"56 853"
"CH";"Universal Pictures (CH)";"30/10/2002";"214 597";"1 827";"";"";"49";"216 473"
"CY";"";"";"11 310";"";"";"";"";"11 310"
"CZ";"Bontonfilm";"31/10/2002";"110 469";"17 760";"";"49";"";"128 278"
"DE";"UIP (DE)";"31/10/2002";"2 041 577";"45 179";"";"";"";"2 086 756"
"DK";"";"";"115 673";"2 121";"";"";"";"117 794"
"EE";"MPDE";"20/12/2002";"6 288";"";"";"";"";"6 288"
"ES";"";"";"1 696 810";"9 862";"";"";"";"1 706 672"
"FI";"";"";"";"6 871";"";"";"";"6 871"
"FR";"";"";"1 426 121";"5 822";"77";"";"";"1 432 020"
"GB";"";"";"2 103 835";"";"";"";"";"2 103 835"
"HU";"";"";"193 664";"";"";"";"";"193 664"
"IS";"";"";"18 925";"";"";"";"";"18 925"
"IT";"";"";"1 505 638";"2 830";"";"";"";"1 508 468"
"LT";"";"";"12 076";"";"";"";"";"12 076"
"LU";"";"";"20 100";"";"";"";"";"20 100"
"NL";"";"";"355 664";"10 262";"";"";"";"365 926"
"NO";"";"";"161 995";"1 967";"";"";"";"163 962"
"PL";"";"";"293 466";"7 863";"";"";"";"301 329"
"RO";"";"";"67 621";"15 854";"67";"";"";"83 542"
"SE";"";"";"219 391";"21 304";"";"";"";"240 695"
"SK";"Tatra Film";"31/10/2002";"31 890";"";"";"";"";"31 890"
"TR";"";"";"378 549";"";"";"";"";"378 549"
"EUR EU";"";"";"10 599 818";"427 095";"144";"49";"";"11 027 106"
"EUR OBS";"";"";"11 373 884";"430 889";"144";"49";"49";"11 805 015"
"US_CA";"";"";"16 026 796";"";"";"";"";"16 026 796"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2005, 2004, 2003, 2002"
" - film_id : 18688"
