"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"Total since 2002"
"BE";"";"";"99 156";"";"";"";"99 156"
"BG";"";"";"8 125";"";"";"";"8 125"
"CH";"";"";"27 407";"";"";"";"27 407"
"CY";"";"";"2 141";"";"";"";"2 141"
"CZ";"Falcon";"18/04/2002";"20 132";"27";"164";"";"20 323"
"DE";"Buena Vista (DE)";"11/04/2002";"316 604";"";"";"";"316 604"
"ES";"";"";"1 405 998";"561";"";"";"1 406 559"
"FR";"";"";"465 331";"152";"";"";"465 483"
"GB";"";"";"33 997";"";"";"";"33 997"
"IS";"";"";"2 064";"";"";"";"2 064"
"IT";"";"";"572 986";"";"";"";"572 986"
"NL";"";"";"42 741";"";"";"";"42 741"
"PL";"";"";"16 034";"";"";"";"16 034"
"RO";"Glob-Com";"24/05/2002";"15 932";"65";"";"20";"16 017"
"SE";"";"";"11 432";"";"";"";"11 432"
"SK";"Saturn Entertainment";"09/05/2002";"12 316";"";"";"";"12 316"
"TR";"";"";"162 576";"";"";"";"162 576"
"EUR EU";"";"";"3 022 925";"805";"164";"20";"3 023 914"
"EUR OBS";"";"";"3 214 972";"805";"164";"20";"3 215 961"
"US_CA";"";"";"5 189 123";"";"";"";"5 189 123"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004, 2003, 2002"
" - film_id : 18812"
