"Market";"Distributor";"Release date";"2007";"2008";"Total since 2007"
"AT";"Walt Disney (AT)";"01/02/2007";"200 924";"";"200 924"
"CH";"Walt Disney (CH)";"31/01/2007";"115 174";"";"115 174"
"DE";"Walt Disney Studios (DE)";"01/02/2007";"2 454 325";"2 774";"2 457 099"
"EUR EU";"";"";"2 655 249";"2 774";"2 658 023"
"EUR OBS";"";"";"2 770 423";"2 774";"2 773 197"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007"
" - film_id : 28407"
