"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2010";"2017";"2010-2017";"Total since 2005"
"AT";"UIP (AT)";"22/04/2005";"128 156";"";"";"";"";"";"";"128 156"
"BE";"";"";"203 989";"";"";"";"";"";"";"203 989"
"BG";"Sunny";"03/06/2005";"17 777";"";"";"";"";"";"";"17 777"
"CH";"Universal Pictures (CH)";"14/04/2005";"209 847";"";"138";"";"";"";"";"209 985"
"CZ";"Bontonfilm";"26/05/2005";"68 251";"";"436";"";"";"";"";"68 687"
"DE";"UIP (DE)";"21/04/2005";"1 201 119";"";"";"";"";"";"";"1 201 119"
"DK";"UIP (DK)";"27/05/2005";"49 656";"14";"";"38";"";"";"";"49 708"
"EE";"MPDE";"30/04/2005";"4 961";"";"";"";"";"";"";"4 961"
"ES";"Universal Pictures Int'l Spain";"14/04/2005";"1 283 575";"31";"";"";"";"";"";"1 283 606"
"FI";"Buena Vista (FI)";"15/04/2005";"55 344";"";"";"";"";"";"";"55 344"
"FR";"StudioCanal (FR)";"08/06/2005";"956 719";"184";"";"";"";"";"";"956 903"
"GB";"UIP (GB)";"15/04/2005";"1 560 314";"";"";"";"";"29";"29";"1 560 343"
"HU";"UIP-Dunafilm";"14/04/2005";"98 216";"";"";"";"";"";"";"98 216"
"IS";"";"";"6 549";"";"";"";"";"";"";"6 549"
"IT";"Eagle Pictures";"28/10/2005";"933 685";"9 078";"";"";"42";"";"42";"942 805"
"LU";"";"";"12 200";"";"";"";"";"";"";"12 200"
"LV";"Baltic Cinema";"15/04/2005";"15 552";"";"";"";"";"";"";"15 552"
"NL";"Universal Pictures Int (NL)";"14/04/2005";"169 423";"44";"";"";"";"";"";"169 467"
"NO";"";"";"60 361";"";"";"";"";"";"";"60 361"
"PL";"UIP (PL)";"15/04/2005";"128 803";"";"";"";"";"";"";"128 803"
"PT";"";"14/04/2005";"237 641";"";"";"";"";"";"";"237 641"
"RO";"Ro-Image 2000";"17/06/2005";"33 065";"23";"";"";"";"";"";"33 088"
"SE";"UIP / Universal";"15/04/2005";"50 414";"";"";"";"";"";"";"50 414"
"SI";"Karantanija Cinemas";"14/04/2005";"";"328";"";"";"";"";"";"328"
"TR";"UIP (TR)";"22/04/2005";"208 467";"";"";"";"";"";"";"208 467"
"EUR EU";"";"";"7 208 860";"9 702";"436";"38";"42";"29";"71";"7 219 107"
"EUR OBS";"";"";"7 694 084";"9 702";"574";"38";"42";"29";"71";"7 704 469"
"US_CA";"";"";"11 319 010";"";"";"";"";"";"";"11 319 010"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2010, 2008, 2007, 2006, 2005"
" - film_id : 23706"
