"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2014-2020";"Total since 2010"
"AT";"Filmladen";"25/03/2011";"";"60 069";"1 136";"325";"";"";"";"";"";"";"";"";"61 530"
"BE";"Cineart (BE)";"10/11/2010";"90 227";"15 308";"1 562";"72";"";"";"";"";"";"";"";"";"107 169"
"BG";"Pro Films (BG)";"28/01/2012";"";"";"6 533";"";"";"";"";"";"";"";"";"";"6 533"
"CH";"Filmcoopi Zürich";"10/11/2010";"56 299";"65 234";"32";"";"67";"148";"201";"35";"";"";"20";"471";"122 036"
"CZ";"35 mm";"23/12/2010";"1 893";"4 132";"109";"20";"";"";"";"";"";"";"";"";"6 154"
"DE";"LEONINE Distribution GmbH";"24/03/2011";"";"484 339";"8 530";"1 450";"128";"";"133";"";"77";"225";"323";"886";"495 205"
"DK";"Scanbox Entertainment (DK)";"16/06/2011";"";"10 743";"";"";"";"";"";"";"";"";"";"";"10 743"
"EE";"Acme (EE)";"10/06/2011";"";"1 333";"76";"";"";"";"";"";"";"";"";"";"1 409"
"ES";"Alta Classics";"24/03/2011";"";"96 741";"108";"";"52";"102";"";"";"";"";"";"154";"97 003"
"FI";"Scanbox Finland";"01/07/2011";"";"5 690";"47";"";"";"";"";"";"";"";"";"";"5 737"
"FR";"Mars Films (FR)";"10/11/2010";"2 200 831";"338 648";"";"";"";"";"";"";"";"";"";"";"2 539 479"
"GB";"StudioCanal (GB)";"17/06/2011";"";"137 812";"";"";"49";"";"";"30";"";"";"";"79";"137 891"
"GR";"Strada Films (GR)";"07/04/2011";"";"13 573";"225";"53";"";"";"";"";"";"";"";"";"13 851"
"HR";"Continental Film (HR)";"13/10/2011";"";"2 720";"";"";"";"";"";"";"";"";"";"";"2 720"
"HU";"Ristretto Distribution";"25/08/2011";"";"12 217";"230";"";"";"";"";"";"";"";"";"";"12 447"
"IE";"StudioCanal (IE)";"17/06/2011";"";"2 895";"";"";"";"";"";"";"";"";"";"";"2 895"
"IT";"Bim Distribuzione";"05/11/2010";"156 991";"51 916";"186";"";"";"";"";"153";"";"";"";"153";"209 246"
"LT";"Acme (LT)";"11/03/2011";"";"2 188";"";"";"";"";"";"";"";"";"";"";"2 188"
"LU";"Cineart (LU)";"12/11/2010";"4 041";"189";"";"";"";"";"";"";"";"";"";"";"4 230"
"LV";"Acme (LV)";"11/03/2011";"";"5 501";"21";"";"";"";"";"";"";"";"";"";"5 522"
"NL";"Cinéart Nederland";"16/12/2010";"20 656";"51 272";"252";"126";"";"";"";"";"";"21";"";"21";"72 327"
"NO";"Scanbox Entertainment (NO)";"13/05/2011";"";"12 252";"";"";"";"";"";"";"";"";"";"";"12 252"
"PL";"Gutek Film/Best Film";"01/04/2011";"";"35 974";"666";"237";"";"";"";"";"";"";"";"";"36 877"
"PT";"Midas Filmes";"17/03/2011";"";"17 159";"";"";"6";"";"";"";"";"";"";"6";"17 165"
"RO";"IF-Independenta Film";"03/06/2011";"";"4 460";"41";"";"164";"50";"";"";"";"";"";"214";"4 715"
"RU";"Premium Film (RU)";"30/12/2010";"";"31 087";"";"";"";"";"";"";"";"";"";"";"31 087"
"SE";"Scanbox Entertainment (SE)";"15/07/2011";"";"30 015";"385";"";"";"";"";"";"";"";"";"";"30 400"
"SI";"Continental Film (SI)";"12/12/2011";"";"1 868";"2 943";"";"";"";"";"";"";"";"";"";"4 811"
"SK";"Continental Film (SK)";"06/05/2011";"";"1 282";"84";"";"";"";"";"";"";"";"";"";"1 366"
"TR";"M3 Film";"20/05/2011";"";"7 359";"";"";"";"";"";"238";"";"";"";"238";"7 597"
"EUR EU";"";"";"2 474 639";"1 388 044";"23 134";"2 283";"399";"152";"133";"183";"77";"246";"323";"1 513";"3 889 613"
"EUR OBS";"";"";"2 530 938";"1 503 976";"23 166";"2 283";"466";"300";"334";"456";"77";"246";"343";"2 222";"4 062 585"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 33773"
