"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Filmladen";"04/04/2019";"";"229 928";"";"229 928"
"BE";"Belga Films (BE)";"09/01/2019";"4 535";"316 565";"509";"321 609"
"CH";"JMH Distributions (CH)";"30/01/2019";"";"263 057";"54";"263 111"
"CY";"Odeon (CY)";"11/07/2019";"";"333";"";"333"
"CZ";"CinemArt (CZ)";"28/02/2019";"";"66 430";"1 145";"67 575"
"DE";"Neue Visionen";"04/04/2019";"";"1 264 859";"132 014";"1 396 873"
"EE";"A-One Films Estonia (EE)";"26/07/2019";"";"2 055";"";"2 055"
"ES";"A Contracorriente Films";"03/12/2019";"";"254 823";"";"254 823"
"FI";"Future Film";"20/12/2019";"";"2 664";"1 565";"4 229"
"FR";"UGC Distribution";"30/01/2019";"";"6 714 809";"3 336";"6 718 145"
"GR";"Odeon (GR)";"11/07/2019";"";"75 000";"";"75 000"
"HR";"Pa-Dora";"11/04/2019";"";"2 359";"";"2 359"
"HU";"Vertigo (HU)";"21/03/2019";"";"48 372";"";"48 372"
"IS";"Myndform";"12/04/2019";"";"2 756";"";"2 756"
"IT";"01 Distribution";"07/03/2019";"";"204 308";"54";"204 362"
"LT";"Kino Pasaka (LT)";"06/09/2019";"";"3 994";"";"3 994"
"LU";"Belga Film (LU)";"30/01/2019";"";"19 445";"";"19 445"
"LV";"A-One Film (LV)";"27/09/2019";"";"100";"9";"109"
"ME";"MCF (ME)";"";"";"50";"";"50"
"NL";"Independent Films (NL)";"28/03/2019";"";"14 646";"";"14 646"
"PL";"Gutek Film";"19/07/2019";"";"217 929";"";"217 929"
"PT";"Outsider Films";"05/12/2019";"";"62 838";"18 756";"81 594"
"RO";"Intercomfilm";"15/03/2019";"";"20 892";"";"20 892"
"SE";"Njutafilms";"25/10/2019";"";"1 209";"";"1 209"
"SI";"Fivia";"14/02/2019";"";"7 563";"405";"7 968"
"SK";"CinemaArt (SK)";"28/02/2019";"";"45 317";"852";"46 169"
"EUR EU";"";"";"4 535";"9 576 438";"158 645";"9 739 618"
"EUR OBS";"";"";"4 535";"9 842 301";"158 699";"10 005 535"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 81344"
