"Market";"Distributor";"Release date";"2006";"2007";"2008";"Total since 2006"
"BE";"Les Films de l'Élysée (BE)";"01/02/2006";"559 755";"11";"";"559 766"
"CH";"JMH Distributions (CH)";"01/02/2006";"280 801";"";"";"280 801"
"FR";"Warner Bros. (FR)";"01/02/2006";"10 223 008";"";"";"10 223 008"
"GR";"Rosebud";"06/07/2006";"16 456";"163";"44";"16 663"
"LU";"Les Films de l'Élysée (LU)";"03/02/2006";"14 482";"";"";"14 482"
"EUR EU";"";"";"10 813 701";"174";"44";"10 813 919"
"EUR OBS";"";"";"11 094 502";"174";"44";"11 094 720"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007, 2006"
" - film_id : 25571"
