"Market";"Distributor";"Release date";"2011";"2012";"2014";"Total since 2011"
"AT";"Elmo Movie World";"03/03/2011";"45 696";"";"";"45 696"
"BA";"Blitz Film i Video, Oskar / MCF (BA)";"07/04/2011";"1 526";"";"";"1 526"
"BE";"Belga Films (BE)";"03/02/2011";"48 670";"";"";"48 670"
"BG";"Aleksandra";"25/02/2011";"29 602";"";"";"29 602"
"CH";"Frenetic Films (CH)";"10/03/2011";"44 285";"";"45";"44 330"
"CZ";"Warner Bros. (CZ)";"14/04/2011";"12 992";"2";"";"12 994"
"DE";"StudioCanal (DE)";"03/03/2011";"630 607";"";"";"630 607"
"DK";"";"";"21 382";"";"";"21 382"
"ES";"Warner Bros. Entertainment Espana";"13/05/2011";"624 011";"";"";"624 011"
"FI";"SF Film Finland [FS Film]";"";"8 484";"";"";"8 484"
"FR";"StudioCanal (FR)";"02/03/2011";"1 003 307";"";"";"1 003 307"
"GB";"Optimum Releasing";"04/03/2011";"1 080 245";"";"";"1 080 245"
"GR";"Village";"";"87 958";"";"";"87 958"
"HR";"Blitz Film & Video Distribution (HR)";"17/02/2011";"31 894";"";"";"31 894"
"HU";"Intercom";"14/04/2011";"53 948";"";"";"53 948"
"IT";"Warner Bros. (IT)";"25/02/2011";"255 769";"";"";"255 769"
"NL";"Warner Bros. (NL)";"12/05/2011";"103 881";"";"";"103 881"
"NO";"SF Norway";"29/04/2011";"22 714";"";"";"22 714"
"PL";"Warner (PL)";"06/05/2011";"109 598";"";"";"109 598"
"PT";"Columbia TriStar Warner (PT)";"05/05/2011";"74 967";"38";"";"75 005"
"RO";"Media Pro Distributions";"";"62 635";"";"";"62 635"
"RU";"Karo Premier";"17/02/2011";"268 539";"";"";"268 539"
"SE";"Warner (SE)";"17/06/2011";"11 208";"";"";"11 208"
"SI";"Blitz Film & Video Distribution (SI)";"24/02/2011";"15 584";"";"";"15 584"
"SK";"Continental Film (SK)";"21/04/2011";"11 417";"10";"";"11 427"
"TR";"Warner Bros. (TR)";"22/04/2011";"109 336";"";"";"109 336"
"EUR EU";"";"";"4 323 855";"50";"";"4 323 905"
"EUR OBS";"";"";"4 770 255";"50";"45";"4 770 350"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2011"
" - film_id : 37088"
