"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2015";"2016";"2018";"2019";"2020";"2010-2020";"Total since 2006"
"AT";"Filmladen";"12/01/2007";"370";"104 334";"156";"";"";"";"";"";"";"";"";"";"";"";"104 860"
"BE";"Alternative Films (BE)";"18/10/2006";"60 846";"18 359";"921";"";"";"";"";"";"";"";"";"";"";"";"80 126"
"CH";"Pathé Films (CH)";"15/09/2006";"80 357";"19 525";"";"5";"15";"27";"";"131";"";"";"14";"";"";"187";"100 074"
"CZ";"SPI";"15/02/2007";"";"62 630";"2 360";"522";"";"158";"450";"108";"";"";"";"";"";"716";"66 228"
"DE";"LEONINE Distribution GmbH";"11/01/2007";"";"547 771";"";"";"";"";"";"";"184";"265";"65";"92";"2";"608";"548 379"
"DK";"Sandrew Metronome (DK)";"03/11/2006";"62 542";"31 482";"670";"80";"";"";"";"";"";"";"";"";"";"";"94 774"
"EE";"Tallinnfilm (EE)";"09/02/2007";"";"7 977";"288";"5";"";"";"";"";"";"";"";"";"";"";"8 270"
"ES";"Vertigo Films (ES)";"08/11/2006";"283 152";"127 604";"486";"25";"3";"";"995";"";"";"276";"";"";"";"1 274";"412 541"
"FI";"Sandrew Metronome Distribution";"26/01/2007";"";"112 881";"86";"";"";"";"";"";"";"";"";"";"";"";"112 967"
"FR";"Pathé Distribution (FR)";"18/10/2006";"877 761";"42 295";"";"";"";"";"";"";"";"";"";"";"";"";"920 056"
"GB";"Pathé Distribution (GB)";"15/09/2006";"1 581 597";"36 239";"";"";"";"";"";"";"";"";"";"";"";"";"1 617 836"
"GR";"Prooptiki (GR)";"30/11/2006";"23 872";"27 535";"133";"";"";"";"";"";"";"";"";"";"";"";"51 540"
"HR";"Blitz Film & Video Distribution (HR)";"";"";"31 663";"";"";"";"";"";"";"";"";"";"";"";"";"31 663"
"HU";"Budapestfilm";"18/01/2007";"";"67 276";"1 587";"";"";"";"";"";"";"";"";"";"";"";"68 863"
"IS";"";"06/10/2006";"6 361";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 361"
"IT";"Bim Distribuzione";"15/09/2006";"400 000";"50 819";"77";"146";"";"";"";"";"";"";"";"";"";"";"451 042"
"LT";"Acme (LT)";"";"";"6 264";"";"";"";"";"";"";"";"";"";"";"";"";"6 264"
"LU";"Alternative Film (LU)";"18/10/2006";"4 399";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 399"
"LV";"Acme (LV)";"";"";"13 546";"";"";"";"";"";"";"";"";"";"";"";"";"13 546"
"NL";"A-Film (NL)";"30/11/2006";"57 190";"130 457";"901";"42";"100";"";"";"";"";"";"";"";"";"100";"188 690"
"NO";"Sandrew Metronome (NO)";"10/11/2006";"53 940";"20 905";"23";"24";"";"";"";"";"";"";"";"";"";"";"74 892"
"PL";"SPInka";"26/01/2007";"";"184 550";"";"";"";"";"";"";"";"";"";"";"";"";"184 550"
"PT";"LNK Audiovisuais";"30/11/2006";"36 276";"43 272";"18";"";"";"";"";"";"";"";"";"";"";"";"79 566"
"RO";"Prooptiki (RO)";"11/05/2007";"";"8 813";"46";"";"";"";"";"";"";"";"";"";"";"";"8 859"
"SE";"Sandrew Metronome";"02/02/2007";"";"220 370";"281";"15";"14";"";"";"";"";"";"";"";"";"14";"220 680"
"SI";"Blitz Film & Video Distribution (SI)";"01/02/2007";"";"22 713";"27";"97";"";"";"";"";"";"";"";"";"";"";"22 837"
"SK";"Film Europe (SK)";"19/04/2007";"";"17 805";"157";"34";"";"";"38";"";"";"";"";"";"";"38";"18 034"
"TR";"Bir Film";"23/02/2007";"";"59 009";"386";"";"";"";"";"";"";"";"";"";"";"";"59 395"
"EUR EU";"";"";"3 388 005";"1 916 655";"8 194";"966";"117";"158";"1 483";"108";"184";"541";"65";"92";"2";"2 750";"5 316 570"
"EUR OBS";"";"";"3 528 663";"2 016 094";"8 603";"995";"132";"185";"1 483";"239";"184";"541";"79";"92";"2";"2 937";"5 557 292"
"US_CA";"Miramax (US)";"29/09/2006";"4 348 092";"4 005 353";"";"";"";"";"";"";"";"";"";"";"";"";"8 353 445"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2016, 2015, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25612"
