"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2009-2020";"Total since 2005"
"AT";"UIP (AT)";"21/10/2005";"83 577";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"83 577"
"BE";"";"";"88 228";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88 228"
"CH";"Universal Pictures (CH)";"29/09/2005";"88 238";"39 608";"";"49";"";"";"";"";"";"";"25";"280";"";"";"";"";"305";"128 200"
"CZ";"CinemArt (CZ)";"26/01/2006";"";"106 578";"5 601";"968";"18";"";"";"196";"30";"";"256";"8";"";"40";"171";"2";"721";"113 868"
"DE";"Universal Pictures (DE)";"20/10/2005";"893 268";"103 482";"";"";"";"";"";"";"";"127";"";"";"";"";"";"";"127";"996 877"
"DK";"UIP (DK)";"06/01/2006";"354";"55 529";"217";"48";"37";"";"";"";"";"";"";"";"";"";"";"";"37";"56 185"
"EE";"Forum Cinemas (EE)";"01/06/2006";"";"9 695";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 695"
"ES";"Universal Pictures Int'l Spain";"07/02/2006";"336 632";"616 467";"15";"";"";"";"";"";"";"";"42";"141";"";"";"";"";"183";"953 297"
"FI";"Finnkino/UIP (FI)";"23/12/2005";"20 408";"29 325";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"49 734"
"FR";"StudioCanal (FR)";"18/01/2006";"";"457 478";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"457 478"
"GB";"UIP (GB)";"16/09/2005";"3 112 847";"";"";"";"";"";"";"";"";"28";"34";"90";"100";"";"";"99";"351";"3 113 198"
"HU";"UIP-Dunafilm";"02/02/2006";"";"100 818";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 818"
"IS";"";"";"";"7 336";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 336"
"IT";"UIP (IT)";"03/02/2006";"";"727 723";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"727 728"
"LU";"";"";"7 700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 700"
"LV";"Forum Cinemas (LV)";"03/02/2006";"";"20 022";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 022"
"NL";"Universal Pictures Int (NL)";"22/09/2005";"201 981";"10 367";"1 304";"94";"";"";"27";"";"";"";"";"";"";"";"";"";"27";"213 773"
"NO";"UIP (NO)";"13/01/2006";"";"144 217";"";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";"144 286"
"PL";"UIP (PL)";"13/01/2006";"";"206 745";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"206 745"
"PT";"ZON Lusomundo Audiovisuais";"19/01/2006";"";"154 446";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"154 446"
"RO";"Ro-Image 2000";"31/03/2006";"";"24 884";"510";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 394"
"SE";"Svenska Filminstitutet";"04/01/2006";"";"75 741";"87";"55";"60";"";"";"";"";"";"";"";"";"";"";"";"60";"75 943"
"SI";"Karantanija Cinemas";"09/02/2006";"";"20 543";"";"442";"191";"156";"3";"";"";"";"";"";"";"";"";"";"350";"21 335"
"SK";"TatraFilm/CinemArt (SK)";"30/03/2006";"";"9 542";"113";"";"";"";"";"";"";"";"";"";"101";"";"";"";"101";"9 756"
"TR";"UIP (TR)";"03/02/2006";"";"176 030";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"176 030"
"EUR EU";"";"";"4 744 995";"2 729 385";"7 853";"1 607";"306";"156";"30";"196";"30";"155";"332";"239";"201";"40";"171";"101";"1 957";"7 485 797"
"EUR OBS";"";"";"4 833 233";"3 096 576";"7 853";"1 725";"306";"156";"30";"196";"30";"155";"357";"519";"201";"40";"171";"101";"2 262";"7 941 649"
"US_CA";"";"";"5 322 635";"654 503";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 977 138"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24246"
