"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Constantin/WildB (AT)";"13/01/2017";"";"39 437";"";"";"";"39 437"
"BA";"Blitz Film & Video Distribution (BA)";"";"1 574";"3 844";"";"";"";"5 418"
"BE";"Belga Films (BE)";"14/12/2016";"68 677";"97 474";"102";"50";"";"166 303"
"BG";"BS Films (BG)";"06/01/2017";"";"29 309";"";"";"";"29 309"
"CH";"Elite Film";"14/12/2016";"13 721";"88 019";"";"105";"";"101 845"
"CY";"";"";"";"4 464";"";"";"";"4 464"
"CZ";"Vertical Entertainment (CZ)";"02/03/2017";"";"60 724";"1 184";"";"";"61 908"
"DE";"Wild Bunch (DE)";"12/01/2017";"";"283 219";"384";"91";"";"283 694"
"DK";"Sweet Chili Entertertainment (DK)";"09/11/2017";"";"32 794";"2 043";"87";"";"34 924"
"EE";"Acme Film";"20/01/2017";"";"37 012";"33";"";"";"37 045"
"ES";"A Contracorriente Films";"21/01/2017";"";"1 234 455";"1 206";"52";"";"1 235 713"
"FI";"Snapper Films Distribution";"25/12/2017";"";"5 379";"7 499";"110";"";"12 988"
"FR";"Gaumont Distribution";"14/12/2016";"1 002 810";"";"";"";"378";"1 003 188"
"GB";"Entertainment One Films (GB)";"23/12/2016";"332 746";"316 313";"";"";"";"649 059"
"GR";"Odeon (GR)";"22/12/2016";"22 940";"77 035";"";"";"";"99 975"
"HR";"Duplicato";"22/12/2016";"12 445";"22 601";"";"";"";"35 046"
"HU";"Forum-Hungary";"19/01/2017";"";"67 322";"";"";"";"67 322"
"IS";"Sena";"03/03/2017";"";"8 155";"";"";"";"8 155"
"IT";"Videa-CDE";"16/02/2017";"";"764 637";"445";"";"";"765 082"
"LT";"Acme (LT)";"13/01/2017";"";"66 452";"335";"26";"";"66 813"
"LU";"";"";"";"3 392";"";"";"";"3 392"
"LV";"Acme (LV)";"20/01/2017";"";"37 795";"";"";"";"37 795"
"MK";"Blitz Film (MK)";"";"";"1 366";"";"";"";"1 366"
"NL";"Independent Films (NL)";"21/12/2016";"17 098";"92 448";"76";"";"";"109 622"
"NO";"Selmer Media";"21/07/2017";"";"36 483";"";"";"";"36 483"
"PL";"Monolith";"20/01/2017";"";"517 385";"7 459";"2 980";"";"527 824"
"PT";"NOS Lusomundo Audiovisuais (PT)";"27/04/2017";"";"107 588";"93";"";"";"107 681"
"RO";"Vertical Ent. (RO)";"03/03/2017";"";"99 113";"245";"";"";"99 358"
"RU";"Volga (RU)";"26/01/2017";"";"1 137 143";"667";"";"";"1 137 810"
"SE";"Njutafilms";"29/09/2017";"";"97 882";"2 094";"";"";"99 976"
"SI";"Blitz Film & Video Distribution (SI)";"05/01/2017";"";"21 055";"";"";"";"21 055"
"SK";"Forum Film Slovakia";"02/03/2017";"";"81 065";"439";"";"";"81 504"
"TR";"CGV Mars Dagitim (TR)";"04/08/2017";"";"139 226";"2 257";"";"";"141 483"
"EUR EU";"";"";"1 456 716";"4 196 350";"23 637";"3 396";"378";"5 680 477"
"EUR OBS";"";"";"1 472 011";"5 610 586";"26 561";"3 501";"378";"7 113 037"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68095"
