"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"04/12/2014";"138 413";"61 393";"";"";"";"";"";"";"199 806"
"BA";"Blitz Film & Video Distribution (BA)";"18/12/2014";"4 886";"7 045";"";"";"";"";"";"";"11 931"
"BE";"Belga Films (BE)";"03/12/2014";"298 536";"178 649";"";"889";"";"";"";"";"478 074"
"BG";"Aleksandra";"02/01/2015";"";"69 453";"83";"";"";"";"";"";"69 536"
"CH";"Frenetic Films (CH)";"03/12/2014";"121 473";"71 292";"110";"656";"250";"";"";"250";"193 781"
"CY";"Odeon (CY)";"19/12/2014";"5 520";"11 320";"";"";"";"";"";"";"16 840"
"CZ";"A-Company Czech";"25/12/2014";"42 193";"141 334";"3 275";"979";"293";"";"";"293";"188 074"
"DE";"StudioCanal (DE)";"04/12/2014";"1 167 275";"824 629";"34 520";"16 116";"10 672";"3 612";"1 270";"15 554";"2 058 094"
"DK";"SF Film (DK)";"15/01/2015";"";"108 370";"";"";"";"";"";"";"108 370"
"EE";"VaataFilmi/Forum Distribution (EE)";"13/02/2015";"";"44 371";"";"";"";"";"";"";"44 371"
"ES";"Warner Bros. Entertainment Espana";"06/01/2015";"32";"439 549";"648";"203";"95";"";"";"95";"440 527"
"FI";"FS Film (FI)";"02/01/2015";"";"104 555";"41";"21";"";"";"";"";"104 617"
"FR";"StudioCanal (FR)";"03/12/2014";"2 203 859";"1 539 242";"";"";"";"";"";"";"3 743 101"
"GB";"StudioCanal (GB)";"28/11/2014";"4 012 645";"1 477 116";"1 287";"727";"";"";"1 478";"1 478";"5 493 253"
"GR";"Odeon (GR)";"11/12/2014";"51 550";"48 712";"177";"";"";"";"";"";"100 439"
"HR";"Blitz Film & Video Distribution (HR)";"18/12/2014";"25 026";"31 632";"";"";"";"";"";"";"56 658"
"HU";"A Company";"11/12/2014";"56 032";"32 605";"249";"350";"";"";"";"";"89 236"
"IS";"Myndform";"16/01/2015";"";"28 316";"";"";"";"";"";"";"28 316"
"IT";"Eagle Pictures";"25/12/2014";"382 172";"446 103";"499";"27";"";"";"";"";"828 801"
"LT";"Prior Entertainment (LT)";"30/01/2015";"";"49 224";"";"";"";"";"";"";"49 224"
"LU";"Belga Film (LU)";"03/12/2014";"13 580";"5 261";"";"";"";"";"";"";"18 841"
"LV";"Forum Cinemas (LV)";"23/01/2015";"";"25 731";"";"";"";"";"";"";"25 731"
"ME";"";"";"2 204";"1 754";"1 754";"";"";"";"";"";"5 712"
"NL";"Independent Films (NL)";"11/02/2015";"";"263 812";"264";"";"";"";"4";"4";"264 080"
"NO";"SF Norway";"16/01/2015";"";"150 000";"202";"71";"";"";"";"";"150 273"
"PL";"Monolith";"25/12/2014";"63 361";"571 902";"3 397";"2 974";"2 045";"";"";"2 045";"643 679"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/03/2015";"";"178 901";"452";"25";"";"";"";"";"179 378"
"RO";"Intercomfilm";"05/12/2014";"69 908";"24 214";"";"";"";"";"";"";"94 122"
"RU";"Volga (RU)";"22/01/2015";"";"1 799 252";"252";"";"1 345";"";"";"1 345";"1 800 849"
"SE";"SF Film (SE)";"16/01/2015";"";"307 478";"374";"";"";"";"";"";"307 852"
"SI";"Blitz Film & Video Distribution (SI)";"18/12/2014";"13 198";"12 801";"587";"68";"";"";"";"";"26 654"
"SK";"Magic Box Slovakia";"25/12/2014";"10 553";"32 117";"460";"118";"44";"";"55";"99";"43 347"
"TR";"Mars Dagitim";"26/12/2014";"85 927";"121 029";"";"";"";"";"";"";"206 956"
"EUR EU";"";"";"8 553 853";"7 030 474";"46 313";"22 497";"13 149";"3 612";"2 807";"19 568";"15 672 705"
"EUR OBS";"";"";"8 768 343";"9 209 162";"48 631";"23 224";"14 744";"3 612";"2 807";"21 163";"18 070 523"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47004"
