"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Universal Pictures (AT)";"27/06/2019";"307 995";"326";"308 321"
"BA";"Una Film";"06/06/2019";"15 739";"351";"16 090"
"BE";"Sony Pictures Universal (BE)";"19/06/2019";"287 135";"1 187";"288 322"
"BG";"Forum Film (BG)";"14/06/2019";"95 549";"";"95 549"
"CH";"Universal Pictures (CH)";"06/06/2019";"225 652";"1 110";"226 762"
"CY";"Universal (CY)";"06/06/2019";"16 047";"";"16 047"
"CZ";"CinemArt (CZ)";"20/06/2019";"367 038";"10 718";"377 756"
"DE";"Universal Pictures (DE)";"27/06/2019";"2 483 924";"32 486";"2 516 410"
"DK";"UIP (DK)";"04/07/2019";"225 549";"";"225 549"
"EE";"VaataFilmi";"31/05/2019";"109 364";"";"109 364"
"ES";"Universal Pictures Int'l Spain";"01/08/2019";"2 003 834";"";"2 003 834"
"FI";"Finnkino";"26/06/2019";"226 488";"194";"226 682"
"FR";"Universal Pictures Intl France (FR)";"31/07/2019";"2 309 328";"1 821";"2 311 149"
"GB";"Universal Pictures (GB)";"24/05/2019";"2 710 065";"485";"2 710 550"
"GR";"Tulip (GR)";"29/08/2019";"164 270";"";"164 270"
"HR";"Editus (HR)";"06/06/2019";"75 921";"306";"76 227"
"HU";"UIP-Dunafilm";"04/07/2019";"460 659";"932";"461 591"
"IS";"Myndform";"05/06/2019";"13 666";"";"13 666"
"IT";"Universal (IT)";"06/06/2019";"608 691";"303";"608 994"
"LT";"Dukine Film Distribution  / Universal Pictures International (LT)";"31/05/2019";"111 307";"619";"111 926"
"LU";"";"";"20 399";"149";"20 548"
"LV";"Forum Cinemas (LV)";"30/05/2019";"95 487";"";"95 487"
"ME";"Taramount film (ME)";"";"3 859";"100";"3 959"
"MK";"Premium Film (MK)";"";"2 507";"146";"2 653"
"NL";"Universal Pictures Int (NL)";"06/06/2019";"701 634";"182";"701 816"
"NO";"UIP (NO)";"21/06/2019";"189 555";"679";"190 234"
"PL";"UIP (PL)";"28/06/2019";"1 447 813";"";"1 447 813"
"PT";"NOS Lusomundo Audiovisuais (PT)";"06/06/2019";"274 957";"60";"275 017"
"RO";"Ro-Image 2000";"14/06/2019";"147 109";"";"147 109"
"RU";"Universal Pictures Int'l - UPI (RU)";"25/05/2019";"6 889 634";"";"6 889 634"
"SI";"Karantanija Cinemas";"06/06/2019";"60 071";"105";"60 176"
"SK";"CinemaArt (SK)";"20/06/2019";"179 081";"2 817";"181 898"
"TR";"UIP (TR)";"05/06/2019";"375 813";"";"375 813"
"EUR EU";"";"";"15 489 715";"52 690";"15 542 405"
"EUR OBS";"";"";"23 206 140";"55 076";"23 261 216"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 82814"
