"Market";"Distributor";"Release date";"2007";"2008";"2009";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2020";"2012-2020";"Total since 2007"
"AT";"Universal Pictures (AT)";"15/06/2007";"22 678";"";"";"";"";"";"";"";"";"";"";"";"22 678"
"BE";"UPI (BE)";"26/09/2007";"17 975";"";"";"";"";"";"";"";"";"";"";"";"17 975"
"CH";"UIP (CH)";"24/08/2007";"21 330";"35";"7";"";"";"";"";"";"";"";"";"";"21 372"
"CZ";"Bontonfilm";"07/06/2007";"16 094";"20";"";"40";"80";"40";"";"";"";"";"";"120";"16 274"
"DE";"Universal Pictures (DE)";"14/06/2007";"257 034";"";"";"";"";"";"410";"104";"";"";"";"514";"257 548"
"DK";"UIP (DK)";"20/07/2007";"4 985";"";"";"";"";"";"";"";"";"";"";"";"4 985"
"EE";"";"12/05/2007";"4 624";"";"";"";"";"";"";"";"";"";"";"";"4 624"
"ES";"Universal Pictures Int'l Spain";"26/09/2007";"36 143";"3 999";"";"";"";"";"";"";"";"";"";"";"40 142"
"FI";"Finnkino/UIP (FI)";"28/09/2007";"2 745";"";"";"";"";"";"";"";"";"";"";"";"2 745"
"FR";"StudioCanal (FR)";"18/07/2007";"165 914";"1 260";"";"";"";"";"";"";"";"";"";"";"167 174"
"GB";"Universal Pictures (GB)";"16/02/2007";"4 156 166";"";"";"";"";"";"122";"";"6";"1 389";"1 301";"2 818";"4 158 984"
"HU";"UIP-Dunafilm";"21/07/2007";"24 728";"";"";"";"";"";"";"";"";"";"";"";"24 728"
"IS";"Myndform";"";"7 649";"";"";"";"";"";"";"";"";"";"";"";"7 649"
"IT";"Universal (IT)";"24/08/2007";"32 482";"63";"";"";"";"";"";"";"";"";"";"";"32 545"
"LV";"";"";"16 135";"";"";"";"";"";"";"";"";"";"";"";"16 135"
"NL";"Universal Pictures Int (NL)";"05/04/2007";"66 251";"";"";"";"";"";"";"";"";"10";"";"10";"66 261"
"NO";"UIP (NO)";"13/04/2007";"53 037";"25";"";"";"";"";"";"";"";"";"";"";"53 062"
"PL";"UIP (PL)";"08/06/2007";"24 174";"";"";"";"";"";"";"";"";"";"";"";"24 174"
"PT";"ZON Lusomundo Audiovisuais";"22/11/2007";"7 446";"265";"";"";"";"";"";"";"";"";"";"";"7 711"
"RO";"Ro-Image 2000";"26/10/2007";"1 490";"628";"";"";"";"";"";"";"";"";"";"";"2 118"
"SE";"UIP / Universal";"13/04/2007";"28 218";"30";"";"";"";"";"";"";"";"";"";"";"28 248"
"SI";"Karantanija Cinemas";"28/06/2007";"9 108";"";"";"";"";"";"";"";"";"";"";"";"9 108"
"SK";"Tatra Film";"09/08/2007";"4 028";"";"18";"";"";"";"";"";"";"";"";"";"4 046"
"TR";"UIP (TR)";"13/07/2007";"13 198";"";"";"";"";"";"";"";"";"";"";"";"13 198"
"EUR EU";"";"";"4 898 418";"6 265";"18";"40";"80";"40";"532";"104";"6";"1 399";"1 301";"3 462";"4 908 203"
"EUR OBS";"";"";"4 993 632";"6 325";"25";"40";"80";"40";"532";"104";"6";"1 399";"1 301";"3 462";"5 003 484"
"US_CA";"Focus-Rogue";"14/03/2007";"3 435 653";"";"";"";"";"";"";"";"";"";"";"";"3 435 653"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2009, 2008, 2007"
" - film_id : 27982"
