"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin Film (AT)";"15/03/2019";"";"120 103";"";"120 103"
"BA";"Blitz Film & Video Distribution (BA)";"06/12/2018";"5 294";"565";"";"5 859"
"BE";"WW Entertainment (BE)";"05/12/2018";"78 675";"39 222";"44";"117 941"
"BG";"bTV";"21/12/2018";"26 701";"30 320";"588";"57 609"
"CH";"Pathé Films (CH)";"05/12/2018";"38 057";"79 642";"172";"117 871"
"CY";"Indipentant - Feelgood (CY)";"17/01/2019";"";"7 975";"";"7 975"
"CZ";"Bioscop (AQS)";"20/12/2018";"30 511";"41 260";"1 381";"73 152"
"DE";"LEONINE Distribution GmbH";"14/03/2019";"";"476 839";"2 242";"479 081"
"DK";"SF Studios (DK)";"11/04/2019";"";"28 996";"";"28 996"
"EE";"Acme (EE)";"18/01/2019";"";"3 354";"";"3 354"
"ES";"Vértice Cine";"11/01/2019";"";"370 541";"";"370 541"
"FI";"SF Film Finland [FS Film]";"19/04/2019";"";"33 036";"";"33 036"
"FR";"SND Films";"05/12/2018";"2 102 757";"";"1 348";"2 104 105"
"GB";"Altitude (GB)";"30/08/2019";"";"6 515";"76";"6 591"
"GR";"Feelgood";"17/01/2019";"";"146 625";"";"146 625"
"HR";"Blitz Film & Video Distribution (HR)";"06/12/2018";"20 164";"7 644";"";"27 808"
"HU";"Big Bang Media";"31/12/2018";"4 881";"26 155";"480";"31 516"
"IS";"Myndform";"22/03/2019";"";"5 404";"";"5 404"
"IT";"Notorious Pictures";"07/03/2019";"";"112 110";"14";"112 124"
"LT";"Acme (LT)";"04/01/2019";"";"8 192";"";"8 192"
"LU";"";"";"3 977";"2 197";"";"6 174"
"LV";"Acme (LV)";"18/01/2019";"";"3 890";"";"3 890"
"ME";"Blitz Film & Video (ME)";"";"1 608";"672";"16";"2 296"
"MK";"Blitz Film (MK)";"";"596";"874";"";"1 470"
"NL";"WW Entertainment";"12/12/2018";"38 932";"48 737";"";"87 669"
"NO";"SF Norway";"12/04/2019";"";"42 255";"100";"42 355"
"PL";"Kino Swiat";"18/01/2019";"";"382 732";"";"382 732"
"PT";"NOS Lusomundo Audiovisuais (PT)";"10/01/2019";"";"126 838";"";"126 838"
"RO";"Ro-Image 2000";"18/01/2019";"";"37 680";"";"37 680"
"RU";"Volga (RU)";"17/01/2019";"";"292 930";"";"292 930"
"SE";"Svensk Filmindustri";"12/04/2019";"";"20 048";"";"20 048"
"SI";"Blitz Film & Video Distribution (SI)";"20/12/2018";"8 417";"5 276";"";"13 693"
"SK";"Magic Box Slovakia";"20/12/2018";"9 054";"10 636";"111";"19 801"
"TR";"Ozen Film";"15/02/2019";"";"68 847";"";"68 847"
"EUR EU";"";"";"2 324 069";"2 096 921";"6 284";"4 427 274"
"EUR OBS";"";"";"2 369 624";"2 588 110";"6 572";"4 964 306"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 78532"
