"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2015";"2016";"2018";"2011-2018";"Total since 2007"
"AT";"Filmcasino & Polyfilm";"17/08/2007";"96 547";"4 100";"804";"";"";"";"";"";"";"";"101 451"
"BE";"Alternative Films (BE)";"21/03/2007";"95 805";"6 865";"1 927";"221";"";"";"";"";"";"";"104 818"
"CH";"Pathé Films (CH)";"21/03/2007";"103 094";"487";"151";"";"18";"";"";"77";"17";"112";"103 844"
"DE";"Prokino Filmverleih";"16/08/2007";"825 868";"78 121";"";"";"";"";"";"";"";"";"903 989"
"ES";"Notro Films (ES)";"15/11/2007";"95 608";"20 487";"52";"";"";"141";"559";"";"";"700";"116 847"
"FI";"SF Film Finland [FS Film]";"12/10/2007";"11 607";"646";"180";"";"";"";"";"";"";"";"12 433"
"FR";"Pathé Distribution (FR)";"21/03/2007";"2 309 288";"";"";"";"";"";"";"";"";"";"2 309 288"
"GR";"Rosebud";"02/08/2007";"25 499";"418";"";"";"";"";"";"";"";"";"25 917"
"HU";"Best Hollywood";"24/04/2008";"";"22 800";"";"";"";"";"";"";"";"";"22 800"
"LU";"Alternative Film (LU)";"21/03/2007";"";"64";"";"";"";"";"";"";"";"";"64"
"NL";"A-Film (NL)";"19/07/2007";"11 270";"1 757";"481";"57";"";"";"";"";"";"";"13 565"
"NO";"SF Norway";"31/08/2007";"19 752";"2 690";"436";"";"58";"";"";"";"";"58";"22 936"
"PL";"Gutek Film/Best Film";"28/09/2007";"37 302";"1 286";"";"231";"";"";"";"";"";"";"38 819"
"PT";"ZON Lusomundo Audiovisuais";"24/01/2008";"";"5 893";"";"";"";"";"";"";"";"";"5 893"
"RO";"New Films Intl.";"20/06/2009";"";"";"3 528";"289";"";"";"";"";"";"";"3 817"
"SE";"Svensk Filmindustri";"28/09/2007";"52 737";"9 525";"";"";"";"";"";"";"";"";"62 262"
"TR";"Pinema";"12/09/2008";"";"6 877";"682";"";"";"";"";"";"";"";"7 559"
"EUR EU";"";"";"3 561 531";"151 962";"6 972";"798";"";"141";"559";"";"";"700";"3 721 963"
"EUR OBS";"";"";"3 684 377";"162 016";"8 241";"798";"76";"141";"559";"77";"17";"870";"3 856 302"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 26894"
