"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"Total since 2002"
"BE";"";"";"222 906";"";"";"";"";"222 906"
"BG";"Pro Films (BG)";"25/02/2005";"";"";"";"5 261";"";"5 261"
"CH";"";"";"35 065";"";"";"";"";"35 065"
"CZ";"SPI";"20/02/2003";"";"4 146";"22";"";"";"4 168"
"DK";"";"";"";"1 070";"";"";"";"1 070"
"EE";"BDG Film";"18/10/2002";"534";"141";"";"";"";"675"
"ES";"";"";"60 215";"117";"";"";"";"60 332"
"FR";"";"";"3 066 049";"508";"142";"";"";"3 066 699"
"GR";"Rosebud";"08/08/2003";"";"5 670";"";"";"";"5 670"
"HU";"";"";"";"80 899";"116";"";"";"81 015"
"IT";"";"";"";"2 412";"";"";"";"2 412"
"LU";"";"";"4 856";"";"";"";"";"4 856"
"PL";"";"";"";"4 325";"252";"";"";"4 577"
"RO";"Glob-Com";"19/11/2004";"";"";"3 058";"1 069";"25";"4 152"
"SK";"SPI SK";"01/05/2003";"";"7 188";"2 600";"";"";"9 788"
"EUR EU";"";"";"3 354 560";"106 476";"6 190";"6 330";"25";"3 473 581"
"EUR OBS";"";"";"3 389 625";"106 476";"6 190";"6 330";"25";"3 508 646"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2005, 2004, 2003, 2002"
" - film_id : 18896"
