"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"Total since 2008"
"AT";"Senator Film (AT)";"12/06/2009";"";"3 394";"";"";"";"3 394"
"BE";"";"22/10/2008";"63 166";"";"";"";"";"63 166"
"CH";"Pathé Films (CH)";"22/10/2008";"31 824";"173";"";"";"";"31 997"
"CZ";"Hollywood";"11/12/2008";"23 228";"10 220";"18";"";"33";"33 499"
"DE";"Senator Film Verleih";"23/04/2009";"";"46 471";"149";"7";"";"46 627"
"DK";"Nordisk Film Distribution (DK)";"01/05/2009";"";"2 212";"";"";"";"2 212"
"EE";"Tallinnfilm (EE)";"21/11/2008";"530";"134";"";"";"";"664"
"FR";"Pathé Distribution (FR)";"22/10/2008";"2 268 481";"";"";"";"";"2 268 481"
"GB";"Momentum Pictures (GB)";"07/08/2009";"";"122 791";"";"";"";"122 791"
"HR";"Blitz Film & Video Distribution (HR)";"18/12/2008";"";"8 399";"";"";"";"8 399"
"IT";"Eagle Pictures";"13/03/2009";"";"87 540";"";"";"";"87 540"
"NL";"A-Film (NL)";"15/01/2009";"184";"14 253";"";"";"";"14 437"
"NO";"Nordisk Filmdistribusjon";"17/04/2009";"";"2 555";"";"";"";"2 555"
"SK";"Continental Film (SK)";"19/03/2009";"";"6 732";"";"";"";"6 732"
"TR";"UIP (TR)";"27/03/2009";"";"5 595";"";"";"";"5 595"
"EUR EU";"";"";"2 355 589";"302 146";"167";"7";"33";"2 657 942"
"EUR OBS";"";"";"2 387 413";"310 469";"167";"7";"33";"2 698 089"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010, 2009, 2008"
" - film_id : 30033"
