"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Alamode";"11/08/2016";"15 503";"1 941";"";"";"";"17 444"
"BE";"Alternative Films (BE)";"01/06/2016";"89 002";"";"";"";"";"89 002"
"CH";"Pathé Films (CH)";"01/06/2016";"44 419";"193";"";"";"";"44 612"
"DE";"Alamode Film (DE)";"11/08/2016";"87 431";"10 049";"1 561";"98";"513";"99 652"
"ES";"A Contracorriente Films";"30/12/2016";"7 473";"119 010";"80";"";"";"126 563"
"FR";"Pathé Distribution (FR)";"";"2 196 796";"";"";"";"";"2 196 796"
"GR";"Seven Films";"14/06/2016";"20 249";"422";"";"";"";"20 671"
"IT";"Officine UBU";"25/08/2016";"65 991";"4 455";"1 486";"";"";"71 932"
"LU";"Alternative Film (LU)";"01/06/2016";"3 356";"";"";"";"";"3 356"
"PT";"Cinemundo (PT)";"25/08/2016";"13 197";"58";"";"";"";"13 255"
"EUR EU";"";"";"2 498 998";"135 935";"3 127";"98";"513";"2 638 671"
"EUR OBS";"";"";"2 543 417";"136 128";"3 127";"98";"513";"2 683 283"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68107"
