"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2014-2015";"Total since 2010"
"AT";"Elmo Movie World";"16/12/2010";"95 729";"98 901";"";"";"";"";"";"194 630"
"BA";"Continental Film, Oskar / Tuck Vision";"06/01/2011";"";"9 741";"";"";"";"";"";"9 741"
"BG";"Aleksandra";"07/01/2011";"";"74 109";"";"";"";"";"";"74 109"
"CH";"Frenetic Films (CH)";"15/12/2010";"79 665";"96 400";"";"33";"14";"14";"28";"176 126"
"CZ";"Falcon";"27/01/2011";"";"83 660";"9";"";"";"";"";"83 669"
"DE";"StudioCanal (DE)";"16/12/2010";"226 903";"1 044 107";"";"";"2";"";"2";"1 271 012"
"DK";"";"";"";"53 612";"";"";"";"";"";"53 612"
"EE";"Acme (EE)";"07/01/2011";"";"39 848";"";"";"";"";"";"39 848"
"ES";"Sony Pictures Releasing De Espana";"29/12/2010";"159 397";"1 144 607";"";"";"";"";"";"1 304 004"
"FI";"The Walt Disney Company Nordic";"21/01/2011";"";"62 046";"";"";"";"";"";"62 046"
"FR";"StudioCanal (FR)";"15/12/2010";"523 234";"332 670";"";"";"";"";"";"855 904"
"GB";"Optimum Releasing";"10/12/2010";"805 272";"129 243";"";"";"";"";"";"934 515"
"GR";"Audiovisual";"";"";"266 977";"";"";"";"";"";"266 977"
"HR";"Continental Film (HR)";"13/01/2011";"";"41 974";"";"";"";"";"";"41 974"
"HU";"Intercom";"29/12/2010";"18 480";"117 657";"";"";"";"";"";"136 137"
"IT";"01 Distribution";"17/12/2010";"1 068 319";"621 220";"";"";"";"";"";"1 689 539"
"LT";"ACME / Sony";"07/01/2011";"";"37 424";"";"";"";"";"";"37 424"
"LV";"Forum Cinemas (LV)";"31/12/2010";"860";"42 578";"";"";"";"";"";"43 438"
"NL";"Sony Pictures Releasing (NL)";"20/01/2011";"";"273 480";"";"";"";"";"";"273 480"
"NO";"Walt Disney Studios Motion Pictures (NO)";"07/01/2011";"";"112 488";"";"";"";"";"";"112 488"
"PL";"UIP (PL)";"14/01/2011";"";"295 243";"";"";"";"";"";"295 243"
"PT";"Columbia TriStar Warner (PT)";"06/01/2011";"";"422 180";"";"";"";"";"";"422 180"
"RO";"Intercomfilm";"07/01/2011";"";"131 953";"37";"11";"";"";"";"132 001"
"RU";"Walt Disney Studios Sony Pictures Releasing";"05/01/2011";"";"2 711 106";"";"";"";"";"";"2 711 106"
"SE";"Sony (Walt Disney)";"05/01/2011";"";"189 865";"";"";"";"";"";"189 865"
"SI";"Continental Film (SI)";"06/01/2011";"";"34 412";"";"";"";"";"";"34 412"
"SK";"Itafilm";"30/12/2010";"3 795";"50 440";"";"";"";"";"";"54 235"
"TR";"Pinema";"10/12/2010";"369 782";"104 234";"";"";"";"";"";"474 016"
"EUR EU";"";"";"2 901 989";"5 588 206";"46";"11";"2";"";"2";"8 490 254"
"EUR OBS";"";"";"3 351 436";"8 622 175";"46";"44";"16";"14";"30";"11 973 731"
"US_CA";"Sony Pictures (US)";"10/12/2010";"6 924 359";"";"";"";"";"";"";"6 924 359"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 34935"
