"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/Studiocanal";"11/01/2018";"65 398";"";"";"65 398"
"BA";"Una Film";"01/02/2018";"7 534";"";"";"7 534"
"BE";"Entertainment One (BE)";"17/01/2018";"75 150";"";"";"75 150"
"BG";"bTV";"12/01/2018";"45 464";"";"";"45 464"
"CH";"Impuls Pictures";"11/01/2018";"53 717";"";"";"53 717"
"CY";"Odeon-Spentzos (CY)";"";"3 638";"";"";"3 638"
"CZ";"Bontonfilm";"18/01/2018";"40 893";"4";"";"40 897"
"DE";"StudioCanal (DE)";"11/01/2018";"630 091";"896";"190";"631 177"
"DK";"SF Studios (DK)";"11/01/2018";"27 877";"";"";"27 877"
"EE";"Acme Film";"12/01/2018";"8 865";"";"";"8 865"
"ES";"Tripictures";"26/01/2018";"185 047";"";"";"185 047"
"FI";"SF Film Finland [FS Film]";"26/01/2018";"10 267";"";"";"10 267"
"FR";"StudioCanal (FR)";"24/01/2018";"656 880";"";"";"656 880"
"GB";"StudioCanal (GB)";"19/01/2018";"546 195";"";"";"546 195"
"GR";"Spentzos Film";"10/01/2018";"94 762";"";"";"94 762"
"HR";"Editus (HR)";"01/01/2018";"5 224";"";"3";"5 227"
"HU";"Big Bang Media";"11/01/2018";"76 856";"";"";"76 856"
"IS";"Myndform";"12/01/2018";"5 456";"";"";"5 456"
"IT";"Eagle Pictures";"25/01/2018";"500 898";"34";"";"500 932"
"LT";"Acme (LT)";"12/01/2018";"9 662";"";"";"9 662"
"LU";"";"";"2 057";"";"";"2 057"
"LV";"Acme (LV)";"12/01/2018";"5 905";"";"";"5 905"
"ME";"";"";"2 155";"";"";"2 155"
"NL";"Entertainment One Benelux";"11/01/2018";"216 648";"";"";"216 648"
"NO";"SF Norway";"12/01/2018";"13 831";"";"";"13 831"
"PL";"Kino Swiat";"12/01/2018";"180 347";"";"";"180 347"
"PT";"NOS Lusomundo Audiovisuais (PT)";"18/01/2018";"119 833";"";"";"119 833"
"RO";"Ro-Image 2000";"12/01/2018";"143 807";"175";"";"143 982"
"RU";"Volga (RU)";"08/03/2018";"481 325";"";"";"481 325"
"SE";"SF Film (SE)";"12/01/2018";"37 616";"";"";"37 616"
"SI";"Karantanija Cinemas";"18/01/2018";"10 023";"";"";"10 023"
"SK";"Bontonfilm (SK)";"18/01/2018";"25 444";"";"";"25 444"
"TR";"Chantier Films";"12/01/2018";"54 187";"";"";"54 187"
"EUR EU";"";"";"3 724 847";"1 109";"193";"3 726 149"
"EUR OBS";"";"";"4 343 052";"1 109";"193";"4 344 354"
"MA";"";"";"28 303";"";"";"28 303"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77595"
