"Market";"Distributor";"Release date";"2010";"2011";"2012";"Total since 2010"
"AT";"Universal Pictures (AT)";"19/03/2010";"44 410";"";"";"44 410"
"BE";"UIP (BE)";"14/04/2010";"96 047";"";"";"96 047"
"CH";"UIP (CH)";"10/03/2010";"80 942";"";"";"80 942"
"CZ";"Bontonfilm";"03/06/2010";"17 069";"208";"120";"17 397"
"DE";"Universal Pictures (DE)";"18/03/2010";"319 260";"";"";"319 260"
"DK";"";"";"61 819";"";"";"61 819"
"EE";"Forum Cinemas (EE)";"26/03/2010";"7 872";"7";"";"7 879"
"ES";"Universal Pictures Int'l Spain";"18/02/2010";"493 878";"";"";"493 878"
"FI";"Finnkino";"12/03/2010";"21 125";"";"";"21 125"
"FR";"StudioCanal (FR)";"14/04/2010";"755 850";"";"";"755 850"
"GB";"Universal Pictures (GB)";"12/03/2010";"978 151";"";"";"978 151"
"HU";"UIP-Dunafilm";"03/06/2010";"30 499";"";"";"30 499"
"IT";"Medusa Film";"09/04/2010";"436 396";"210";"";"436 606"
"LT";"Forum Cinemas / Universal";"26/03/2010";"8 060";"";"";"8 060"
"LV";"UIP (LV)";"02/04/2010";"5 124";"";"";"5 124"
"NL";"Universal Pictures Int (NL)";"15/04/2010";"111 495";"";"";"111 495"
"NO";"UIP (NO)";"12/03/2010";"47 761";"";"";"47 761"
"PL";"UIP (PL)";"04/06/2010";"27 827";"";"";"27 827"
"PT";"ZON Lusomundo Audiovisuais";"08/04/2010";"39 995";"";"";"39 995"
"RO";"Ro-Image 2000";"09/04/2010";"13 849";"";"";"13 849"
"RU";"Universal Pictures Russia";"11/03/2010";"292 588";"";"";"292 588"
"SE";"UIP / Universal";"12/03/2010";"72 311";"";"";"72 311"
"SI";"Karantanija Cinemas";"18/03/2010";"10 003";"";"";"10 003"
"TR";"UIP (TR)";"30/04/2010";"50 430";"";"";"50 430"
"EUR EU";"";"";"3 551 040";"425";"120";"3 551 585"
"EUR OBS";"";"";"4 022 761";"425";"120";"4 023 306"
"US_CA";"Universal Pictures (US)";"12/03/2010";"4 442 796";"";"";"4 442 796"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010"
" - film_id : 34925"
