"Market";"Distributor";"Release date";"2009";"2010";"2015";"2018";"Total since 2009"
"BE";"Scope Pictures (BE)";"08/06/2018";"42 105";"7";"";"23 194";"65 306"
"CH";"JMH Distributions (CH)";"12/08/2009";"21 039";"164";"80";"";"21 283"
"FR";"SND Films";"12/08/2009";"2 452 007";"";"";"1 144 291";"3 596 298"
"LU";"";"";"";"";"";"274";"274"
"EUR EU";"";"";"2 494 112";"7";"";"1 167 759";"3 661 878"
"EUR OBS";"";"";"2 515 151";"171";"80";"1 167 759";"3 683 161"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2015, 2010, 2009"
" - film_id : 32540"
