"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Filmladen";"24/01/2014";"";"11 119";"6 208";"43";"";"";"";"";"";"17 370"
"BE";"Belga Films (BE)";"18/12/2013";"";"70 968";"";"220";"";"";"";"64";"64";"71 252"
"CH";"Pathé Films (CH)";"18/12/2013";"36 033";"39 306";"583";"212";"";"";"24";"4";"28";"76 162"
"CZ";"Bontonfilm";"20/02/2014";"";"42 022";"4 154";"1 277";"";"";"";"";"";"47 453"
"DE";"Ascot Elite";"19/12/2013";"40 476";"51 245";"5 874";"2 574";"699";"476";"369";"317";"1 861";"102 030"
"EE";"Must Käsi (EE)";"01/12/2014";"";"1 035";"631";"378";"";"";"";"";"";"2 044"
"FI";"Future Film";"20/03/2015";"";"";"2 770";"705";"";"";"";"";"";"3 475"
"FR";"Gaumont Distribution";"18/12/2013";"765 111";"";"";"";"";"";"";"";"";"765 111"
"GB";"StudioCanal (GB)";"07/11/2014";"";"623";"236";"23";"";"";"";"";"";"882"
"GR";"Word of Mouth (GR)";"16/01/2014";"";"16 798";"";"400";"";"";"";"";"";"17 198"
"HR";"Pa-Dora";"10/04/2014";"";"305";"";"";"";"";"";"";"";"305"
"HU";"MTVA";"19/12/2013";"10 896";"21 068";"587";"360";"";"";"";"";"";"32 911"
"IT";"Notorious Pictures";"30/01/2014";"";"1 333 751";"1 840";"38";"";"483";"";"";"483";"1 336 112"
"LU";"Belga Film (LU)";"18/12/2013";"";"1 322";"";"";"";"";"";"";"";"1 322"
"ME";"";"";"";"183";"";"";"";"";"";"";"";"183"
"MK";"MCF (MK)";"";"";"80";"";"";"";"";"";"";"";"80"
"PL";"Monolith";"07/11/2014";"";"233 486";"15 217";"2 925";"";"";"";"";"";"251 628"
"PT";"NOS Lusomundo Audiovisuais (PT)";"07/08/2014";"";"995";"";"";"";"";"";"";"";"995"
"RU";"Pioneer Film (RU)";"05/04/2018";"";"";"";"";"";"43 246";"";"";"43 246";"43 246"
"SI";"Fivia";"03/04/2014";"";"3 508";"736";"564";"";"152";"";"251";"403";"5 211"
"SK";"Bontonfilm (SK)";"08/05/2014";"";"15 105";"441";"211";"";"";"";"";"";"15 757"
"EUR EU";"";"";"816 483";"1 803 350";"38 694";"9 718";"699";"1 111";"369";"632";"2 811";"2 671 056"
"EUR OBS";"";"";"852 516";"1 842 919";"39 277";"9 930";"699";"44 357";"393";"636";"46 085";"2 790 727"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43263"
