"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"Total since 2002"
"AT";"";"";"365 715";"";"";"";"365 715"
"BE";"";"";"366 525";"";"";"";"366 525"
"BG";"Sunny";"21/06/2002";"29 176";"30 018";"";"";"59 194"
"CH";"";"";"272 961";"";"";"";"272 961"
"CY";"";"";"12 512";"";"";"";"12 512"
"CZ";"Bontonfilm";"04/07/2002";"153 329";"4 609";"";"148";"158 086"
"DE";"UIP (DE)";"30/05/2002";"2 450 681";"7 523";"";"";"2 458 204"
"DK";"";"";"55 881";"";"";"";"55 881"
"EE";"MPDE";"12/07/2002";"24 765";"";"";"";"24 765"
"ES";"";"";"618 983";"";"";"";"618 983"
"FI";"";"";"47 515";"";"";"";"47 515"
"FR";"";"";"1 129 312";"8 103";"210";"";"1 137 625"
"GB";"";"";"1 137 948";"";"";"";"1 137 948"
"HU";"";"";"242 434";"";"";"";"242 434"
"IS";"";"";"8 779";"";"";"";"8 779"
"IT";"";"";"454 699";"";"";"";"454 699"
"LT";"";"";"13 694";"";"";"";"13 694"
"LU";"";"";"14 100";"";"";"";"14 100"
"NL";"";"";"322 018";"";"";"";"322 018"
"NO";"";"";"36 301";"";"";"";"36 301"
"PL";"";"";"128 217";"";"";"";"128 217"
"RO";"";"";"47 006";"3 399";"";"";"50 405"
"SE";"";"";"70 022";"";"";"";"70 022"
"SI";"";"";"39 339";"";"";"";"39 339"
"SK";"Tatra Film";"04/07/2002";"41 447";"";"";"";"41 447"
"TR";"";"";"195 662";"";"";"";"195 662"
"EUR EU";"";"";"7 765 318";"53 652";"210";"148";"7 819 328"
"EUR OBS";"";"";"8 279 021";"53 652";"210";"148";"8 333 031"
"US_CA";"";"";"6 543 245";"";"";"";"6 543 245"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004, 2003, 2002"
" - film_id : 18718"
