"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"Total since 2014"
"AT";"Constantin/Studiocanal";"13/03/2014";"90 833";"";"";"";"90 833"
"BE";"Belga Films (BE)";"26/02/2014";"197 674";"";"";"";"197 674"
"BG";"bTV";"28/02/2014";"9";"";"";"";"9"
"CH";"Impuls Pictures";"26/02/2014";"63 183";"";"";"";"63 183"
"CY";"Indipentant - Herodotou (CY)";"";"6 679";"";"";"";"6 679"
"CZ";"Bontonfilm";"27/02/2014";"17 800";"";"30";"";"17 830"
"DE";"StudioCanal (DE)";"13/03/2014";"1 187 727";"";"";"";"1 187 727"
"DK";"Filmcompagniet (SF-Film)";"10/04/2014";"35 026";"";"";"";"35 026"
"EE";"Acme (EE)";"28/02/2014";"10 095";"";"";"";"10 095"
"ES";"Tripictures";"21/03/2014";"254 051";"";"";"281";"254 332"
"FI";"FS Film (FI)";"21/03/2014";"37 303";"";"";"";"37 303"
"FR";"StudioCanal (FR)";"26/02/2014";"1 233 868";"";"";"";"1 233 868"
"GB";"StudioCanal (GB)";"28/02/2014";"1 396 637";"";"";"";"1 396 637"
"GR";"Spentzos Film";"";"62 885";"";"";"";"62 885"
"HR";"Blitz Film & Video Distribution (HR)";"13/03/2014";"27 662";"";"";"";"27 662"
"HU";"ProVideo";"27/02/2014";"111 072";"";"";"";"111 072"
"IS";"Samfilm";"";"12 448";"";"";"";"12 448"
"IT";"Walt Disney (IT)";"08/05/2014";"7 539";"";"";"";"7 539"
"LT";"Acme (LT)";"28/02/2014";"7 217";"";"";"";"7 217"
"LV";"Acme (LV)";"28/02/2014";"6 901";"";"";"";"6 901"
"ME";"";"";"648";"";"";"";"648"
"MK";"Blitz Film (MK)";"";"2 037";"";"";"";"2 037"
"NL";"Independent Films (NL)";"27/02/2014";"178 439";"";"";"";"178 439"
"NO";"SF Norway";"21/03/2014";"53 296";"";"";"";"53 296"
"PL";"Monolith";"28/02/2014";"132 918";"2 563";"";"";"135 481"
"PT";"NOS Lusomundo Audiovisuais (PT)";"13/03/2014";"84 268";"";"";"";"84 268"
"RO";"Media Pro Distributions";"28/02/2014";"107 300";"";"";"";"107 300"
"RU";"Paradise";"12/03/2014";"477 895";"";"";"";"477 895"
"SE";"SF Film (SE)";"11/04/2014";"65 435";"";"";"";"65 435"
"SI";"Blitz Film & Video Distribution (SI)";"13/03/2014";"5 710";"";"";"";"5 710"
"SK";"TatraFilm/Bontonfilm";"27/02/2014";"13 815";"";"";"";"13 815"
"TR";"M3 Film";"21/03/2014";"121 583";"";"";"";"121 583"
"EUR EU";"";"";"5 278 863";"2 563";"30";"281";"5 281 737"
"EUR OBS";"";"";"6 009 953";"2 563";"30";"281";"6 012 827"
"MA";"";"";"28 229";"";"";"";"28 229"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2014"
" - film_id : 46852"
