"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/Studiocanal";"01/02/2019";"";"69 309";"";"69 309"
"BA";"Una Film";"21/03/2019";"";"1 536";"";"1 536"
"BE";"Société Athena Films (BE)";"26/12/2018";"21 905";"55 955";"1 309";"79 169"
"CH";"Impuls Pictures";"26/12/2018";"7 254";"64 093";"113";"71 460"
"CY";"Indipentant - Feelgood (CY)";"31/10/2019";"";"1 925";"";"1 925"
"CZ";"Bontonfilm";"25/04/2019";"";"53 518";"1 756";"55 274"
"DE";"StudioCanal (DE)";"31/01/2019";"";"571 120";"7 935";"579 055"
"EE";"Acme (EE)";"11/01/2019";"";"7 190";"";"7 190"
"ES";"A Contracorriente Films";"07/03/2019";"";"642 110";"";"642 110"
"FI";"SF Film Finland [FS Film]";"04/01/2019";"";"3 668";"";"3 668"
"FR";"StudioCanal (FR)";"26/12/2018";"";"1 494 801";"2 533";"1 497 334"
"GR";"Feelgood";"31/10/2019";"";"8 208";"";"8 208"
"HR";"Editus (HR)";"24/01/2019";"";"";"7";"7"
"HU";"Big Bang Media";"18/04/2019";"";"51 041";"100";"51 141"
"IT";"Eagle Pictures";"17/01/2019";"";"1 003 950";"2 142";"1 006 092"
"LT";"Acme (LT)";"05/04/2019";"";"13 590";"";"13 590"
"LU";"Athena Films (LU)";"26/12/2018";"622";"1 416";"";"2 038"
"LV";"Acme (LV)";"11/01/2019";"";"3 972";"";"3 972"
"ME";"Taramount film (ME)";"";"";"341";"";"341"
"NL";"In the Air (NL)";"04/07/2019";"";"8 410";"49";"8 459"
"NO";"SF Norway";"08/02/2019";"";"12 227";"";"12 227"
"PL";"Kino Swiat";"01/02/2019";"";"472 849";"";"472 849"
"PT";"NOS Lusomundo Audiovisuais (PT)";"07/02/2019";"";"8 436";"";"8 436"
"RO";"Ro-Image 2000";"08/02/2019";"";"22 043";"";"22 043"
"RU";"Pioneer Film (RU)";"11/04/2019";"";"164 831";"2 006";"166 837"
"SI";"Karantanija Cinemas";"28/02/2019";"";"8 811";"83";"8 894"
"SK";"Bontonfilm (SK)";"25/04/2019";"";"32 523";"149";"32 672"
"TR";"Ozen Film";"09/10/2020";"";"";"1 380";"1 380"
"EUR EU";"";"";"22 527";"4 534 845";"16 063";"4 573 435"
"EUR OBS";"";"";"29 781";"4 777 873";"19 562";"4 827 216"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79804"
