"Market";"Distributor";"Release date";"2000";"2001";"2002";"2004";"2005";"Total since 2000"
"AT";"";"";"50 344";"";"";"";"";"50 344"
"BE";"";"";"179 804";"";"";"";"";"179 804"
"BG";"";"";"33 331";"209";"";"";"";"33 540"
"CH";"";"";"70 745";"";"";"";"";"70 745"
"CY";"";"";"";"6 868";"";"";"";"6 868"
"CZ";"Bontonfilm";"19/10/2000";"48 791";"";"";"";"4";"48 795"
"DE";"";"14/09/2000";"643 196";"19 653";"";"";"";"662 849"
"DK";"";"";"92 235";"43";"";"";"";"92 278"
"EE";"";"";"6 552";"";"";"";"";"6 552"
"ES";"";"";"449 339";"6 115";"";"";"";"455 454"
"FI";"";"";"51 418";"";"";"";"";"51 418"
"FR";"";"";"373 235";"1 256";"74";"7";"";"374 572"
"GB";"";"";"522 551";"";"";"";"";"522 551"
"HR";"";"";"53 493";"";"";"";"";"53 493"
"HU";"";"";"64 647";"";"";"";"";"64 647"
"IS";"";"";"15 843";"";"";"";"";"15 843"
"IT";"";"";"453 771";"";"";"";"17";"453 788"
"LT";"";"";"41 359";"";"";"";"";"41 359"
"NL";"";"";"143 590";"";"";"";"";"143 590"
"PL";"";"";"161 379";"";"";"";"";"161 379"
"SE";"";"";"53 813";"";"";"";"";"53 813"
"TR";"";"";"26 250";"";"";"";"";"26 250"
"EUR EU";"";"";"3 422 848";"34 144";"74";"7";"21";"3 457 094"
"EUR OBS";"";"";"3 535 686";"34 144";"74";"7";"21";"3 569 932"
"US_CA";"";"";"14 022 257";"";"";"";"";"14 022 257"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2005, 2004, 2002, 2001, 2000"
" - film_id : 15129"
