"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2014";"2015";"2017";"2018";"2019";"2014-2019";"Total since 2009"
"AT";"Universal Pictures (AT)";"17/04/2009";"27 528";"";"";"";"";"";"";"";"";"";"27 528"
"BE";"UPI (BE)";"06/05/2009";"11 700";"";"";"";"";"";"";"";"";"";"11 700"
"CH";"UIP (CH)";"16/04/2009";"30 519";"88";"";"89";"76";"71";"21";"10";"";"178";"30 874"
"CZ";"CinemArt (CZ)";"30/07/2009";"26 399";"1 760";"563";"54";"60";"60";"";"87";"112";"319";"29 095"
"DE";"Universal Pictures (DE)";"16/04/2009";"223 970";"";"";"";"106";"302";"";"";"";"408";"224 378"
"DK";"UIP (DK)";"17/04/2009";"8 564";"";"";"";"";"";"";"";"";"";"8 564"
"EE";"Forum Cinemas (EE)";"01/05/2009";"1 604";"";"";"";"";"";"";"";"";"";"1 604"
"ES";"Universal Pictures Int'l Spain";"25/05/2009";"26 082";"42";"";"";"";"";"";"";"";"";"26 124"
"FI";"Finnkino";"17/04/2009";"22 502";"";"";"";"";"";"";"";"";"";"22 502"
"FR";"StudioCanal (FR)";"06/05/2009";"862 706";"10 143";"1 151";"304";"";"";"";"";"";"";"874 304"
"GB";"Universal Pictures (GB)";"03/04/2009";"1 128 899";"15 771";"";"";"";"";"70";"";"";"70";"1 144 740"
"HR";"Blitz Film & Video Distribution (HR)";"";"7 351";"";"";"";"";"";"";"";"";"";"7 351"
"HU";"UIP-Dunafilm";"11/06/2009";"12 761";"";"";"";"";"";"";"";"";"";"12 761"
"IT";"Universal (IT)";"12/06/2009";"160 772";"302";"71";"";"49";"";"";"";"";"49";"161 194"
"LV";"Forum Cinemas (LV)";"";"9 939";"";"";"";"";"";"";"";"";"";"9 939"
"NL";"Universal Pictures Int (NL)";"16/04/2009";"23 460";"";"";"";"";"";"";"";"91";"91";"23 551"
"NO";"UIP (NO)";"17/04/2009";"13 146";"";"";"";"";"";"";"";"";"";"13 146"
"PT";"ZON Lusomundo Audiovisuais";"23/07/2009";"19 371";"12";"";"";"";"";"";"";"";"";"19 383"
"SE";"UIP / Universal";"17/04/2009";"21 761";"";"";"";"";"";"";"";"";"";"21 761"
"SI";"Karantanija Cinemas";"11/06/2009";"7 080";"";"";"";"";"";"";"";"";"";"7 080"
"SK";"Tatra Film";"17/09/2009";"3 054";"43";"";"";"";"";"";"";"";"";"3 097"
"EUR EU";"";"";"2 605 503";"28 073";"1 785";"358";"215";"362";"70";"87";"203";"937";"2 636 656"
"EUR OBS";"";"";"2 649 168";"28 161";"1 785";"447";"291";"433";"91";"97";"203";"1 115";"2 680 676"
"US_CA";"Focus/Focus Features (US)";"13/11/2009";"1 065 882";"";"";"";"";"";"";"";"";"";"1 065 882"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2015, 2014, 2012, 2011, 2010, 2009"
" - film_id : 32217"
