"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2020";"2011-2020";"Total since 2007"
"AT";"Universal Pictures (AT)";"30/03/2007";"437 366";"";"";"";"";"";"";"";"";"437 366"
"BG";"Prooptiki (BG)";"27/04/2007";"31 830";"";"";"";"";"";"";"";"";"31 830"
"CH";"Universal Pictures (CH)";"29/03/2007";"343 715";"";"";"";"";"";"";"";"";"343 715"
"CZ";"Bontonfilm";"29/03/2007";"190 162";"693";"221";"";"40";"80";"";"";"120";"191 196"
"DE";"Universal Pictures (DE)";"29/03/2007";"3 412 945";"";"";"";"";"";"60";"";"60";"3 413 005"
"DK";"UIP (DK)";"30/03/2007";"178 168";"116";"";"";"";"";"";"";"";"178 284"
"EE";"";"31/03/2007";"50 520";"";"";"";"";"";"";"";"";"50 520"
"ES";"Universal Pictures Int'l Spain";"28/03/2007";"1 336 376";"753";"";"";"";"";"";"";"";"1 337 129"
"FI";"Finnkino";"30/03/2007";"308 977";"309";"";"";"";"";"";"";"";"309 286"
"FR";"StudioCanal (FR)";"18/04/2007";"1 060 741";"";"";"";"";"";"";"";"";"1 060 741"
"GB";"Universal Pictures (GB)";"30/03/2007";"4 378 026";"";"";"";"";"";"";"92";"92";"4 378 118"
"HR";"Blitz Film & Video Distribution (HR)";"";"116 820";"";"";"";"";"";"";"";"";"116 820"
"HU";"UIP-Dunafilm";"29/03/2007";"176 552";"";"";"";"";"";"";"";"";"176 552"
"IS";"Samfilm";"06/04/2007";"29 125";"";"";"";"";"";"";"";"";"29 125"
"IT";"Universal (IT)";"06/04/2007";"872 897";"";"";"";"";"";"";"";"";"872 897"
"LT";"Forum Cinemas (LT)";"30/03/2007";"92 396";"";"";"";"";"";"";"";"";"92 396"
"LV";"";"";"81 231";"";"";"";"";"";"";"";"";"81 231"
"NL";"Universal Pictures Int (NL)";"29/03/2007";"686 134";"147";"";"";"";"";"";"";"";"686 281"
"NO";"UIP (NO)";"30/03/2007";"242 566";"";"";"";"";"";"";"";"";"242 566"
"PL";"UIP (PL)";"20/04/2007";"490 131";"";"";"";"";"";"";"";"";"490 131"
"PT";"ZON Lusomundo Audiovisuais";"29/03/2007";"492 658";"";"";"";"";"";"";"";"";"492 658"
"RO";"Ro-Image 2000";"27/04/2007";"50 882";"";"";"";"";"";"";"";"";"50 882"
"SE";"UIP / Universal";"30/03/2007";"197 291";"";"";"";"";"";"";"";"";"197 291"
"SI";"Karantanija Cinemas";"05/04/2007";"116 612";"271";"502";"14";"";"";"";"";"";"117 399"
"SK";"Tatra Film";"29/03/2007";"43 305";"";"20";"";"";"";"";"";"";"43 325"
"TR";"UIP (TR)";"18/05/2007";"68 133";"";"";"";"";"";"";"";"";"68 133"
"EUR EU";"";"";"14 802 020";"2 289";"743";"14";"40";"80";"60";"92";"272";"14 805 338"
"EUR OBS";"";"";"15 485 559";"2 289";"743";"14";"40";"80";"60";"92";"272";"15 488 877"
"US_CA";"Universal Pictures (US)";"24/08/2007";"4 840 431";"";"";"";"";"";"";"";"";"4 840 431"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2014, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 27910"
