"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2014-2015";"Total since 2010"
"AT";"Constantin Film (AT)";"30/12/2010";"4 029";"56 631";"";"101";"";"";"";"60 761"
"BE";"Victory Productions (BE)";"17/03/2010";"103 157";"";"";"";"";"";"";"103 157"
"BG";"Alexandra/A Plus Films";"04/02/2011";"";"3 015";"";"";"";"";"";"3 015"
"CH";"Frenetic Films (CH)";"17/03/2010";"54 949";"6 324";"";"6";"";"32";"32";"61 311"
"CZ";"35 mm";"26/08/2010";"24 270";"700";"128";"";"";"";"";"25 098"
"DE";"Universum Film";"06/01/2011";"";"241 398";"";"";"";"";"";"241 398"
"DK";"";"";"";"5 748";"";"";"";"";"";"5 748"
"EE";"A-One Films Baltic (EE)";"27/05/2011";"";"3 332";"163";"72";"15";"112";"127";"3 694"
"ES";"A Contracorriente Films";"21/10/2010";"177 518";"1 718";"18";"";"";"";"";"179 254"
"FI";"Atlantic Film (FI)";"";"";"11 855";"";"";"";"";"";"11 855"
"FR";"Universal Pictures";"17/03/2010";"3 798 089";"";"";"";"";"";"";"3 798 089"
"GB";"Revolver Films (GB)";"02/07/2010";"119 819";"";"";"";"";"";"";"119 819"
"GR";"Village";"";"9 335";"";"";"";"";"";"";"9 335"
"HR";"Blitz Film & Video Distribution (HR)";"21/10/2010";"20 188";"211";"";"";"";"";"";"20 399"
"HU";"Budapestfilm";"26/08/2010";"23 668";"436";"";"";"";"";"";"24 104"
"IT";"Lucky Red";"11/02/2011";"";"125 000";"";"";"";"";"";"125 000"
"LT";"A-One Films (LT)";"17/12/2010";"1 672";"4 578";"252";"87";"";"";"";"6 589"
"LU";"Victory Productions (LU)";"17/03/2010";"5 846";"";"";"";"";"";"";"5 846"
"LV";"A-One Film (LV)";"";"1 633";"182";"";"";"";"";"";"1 815"
"NL";"De Filmfreak Distributie";"11/08/2011";"";"16 700";"";"";"";"";"";"16 700"
"PL";"Monolith";"13/08/2010";"106 003";"210";"960";"";"";"";"";"107 173"
"PT";"ZON Lusomundo Cinemas";"22/12/2011";"";"1 514";"901";"";"";"";"";"2 415"
"RU";"Universal Pictures Russia";"05/08/2010";"201 227";"";"";"";"";"";"";"201 227"
"SE";"Atlantic Film (SE)";"29/04/2011";"";"2 863";"17";"83";"8";"";"8";"2 971"
"SI";"Blitz Film & Video Distribution (SI)";"05/11/2010";"3 825";"535";"76";"";"";"";"";"4 436"
"SK";"Forum Film Slovakia";"14/10/2010";"";"981";"84";"";"";"";"";"1 065"
"TR";"UIP (TR)";"04/03/2011";"";"22 235";"";"";"";"";"";"22 235"
"EUR EU";"";"";"4 399 052";"477 607";"2 599";"343";"23";"112";"135";"4 879 736"
"EUR OBS";"";"";"4 655 228";"506 166";"2 599";"349";"23";"144";"167";"5 164 509"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35021"
