"Market";"Distributor";"Release date";"2014";"2015";"2016";"2018";"2019";"Total since 2014"
"AT";"Universal Pictures (AT)";"31/07/2014";"92 821";"";"";"";"";"92 821"
"BE";"Sony Pictures Releasing (BE)";"30/07/2014";"44 102";"";"";"";"";"44 102"
"BG";"Forum Film (BG)";"18/07/2014";"5 261";"";"";"";"";"5 261"
"CH";"Universal Pictures (CH)";"23/07/2014";"31 762";"";"";"";"";"31 762"
"CZ";"CinemArt (CZ)";"31/07/2014";"19 872";"388";"";"16";"";"20 276"
"DE";"Universal Pictures (DE)";"31/07/2014";"499 708";"346";"";"2";"";"500 056"
"DK";"UIP (DK)";"18/09/2014";"9 778";"";"";"";"";"9 778"
"EE";"VaataFilmi";"18/07/2014";"6 953";"";"";"";"";"6 953"
"ES";"Universal Pictures Int'l Spain";"21/07/2014";"362 326";"";"";"";"";"362 326"
"FI";"Finnkino";"18/07/2014";"4 993";"";"";"";"";"4 993"
"FR";"Universal Pictures Intl France (FR)";"23/07/2014";"553 215";"";"";"";"";"553 215"
"GB";"Universal Pictures (GB)";"25/07/2014";"673 113";"";"";"";"";"673 113"
"HR";"Universal Pictures (HR)";"31/07/2014";"9 219";"";"";"";"";"9 219"
"HU";"UIP-Dunafilm";"17/07/2014";"8 699";"";"";"";"";"8 699"
"IS";"Myndform";"";"2 242";"";"";"";"";"2 242"
"IT";"Universal (IT)";"23/07/2014";"361 762";"40";"";"586";"60";"362 448"
"LT";"Forum Cinemas / Universal";"18/07/2014";"5 665";"";"";"";"";"5 665"
"LV";"Forum Cinemas (LV)";"18/07/2014";"5 618";"";"";"";"";"5 618"
"NL";"Universal Pictures Int (NL)";"24/07/2014";"82 291";"";"";"";"";"82 291"
"NO";"UIP (NO)";"18/07/2014";"7 159";"";"";"";"";"7 159"
"PL";"UIP (PL)";"18/07/2014";"73 203";"";"";"";"";"73 203"
"RO";"Ro-Image 2000";"15/08/2014";"23 287";"87";"";"";"";"23 374"
"RU";"Universal Pictures Russia";"31/07/2014";"245 702";"";"";"";"";"245 702"
"SE";"UIP / Universal";"30/07/2014";"22 713";"";"";"";"";"22 713"
"SI";"Karantanija Cinemas";"17/07/2014";"4 250";"";"";"";"";"4 250"
"SK";"Barracuda Movie/CinemArt (SK)";"31/07/2014";"7 638";"15";"107";"";"";"7 760"
"TR";"UIP (TR)";"18/07/2014";"83 206";"";"";"";"";"83 206"
"EUR EU";"";"";"2 876 487";"876";"107";"604";"60";"2 878 134"
"EUR OBS";"";"";"3 246 558";"876";"107";"604";"60";"3 248 205"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2015, 2014"
" - film_id : 45488"
