"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2014-2018";"Total since 2010"
"AT";"Filmladen";"19/02/2010";"30 225";"146";"";"";"";"";"";"";"";"30 371"
"BE";"Benelux Film Distributors (BE)";"24/03/2010";"";"";"";"";"";"";"";"51";"51";"51"
"BG";"Forum Film (BG)";"08/10/2010";"8 404";"279";"5";"";"";"";"";"";"";"8 688"
"CH";"Pathé Films (CH)";"10/02/2010";"100 265";"99";"146";"";"";"43";"58";"";"101";"100 611"
"CY";"Odeon (CY)";"18/06/2010";"2 121";"";"";"";"";"";"";"";"";"2 121"
"CZ";"Film Europe (CZ)";"10/06/2010";"26 200";"721";"138";"";"";"";"";"";"";"27 059"
"DE";"StudioCanal (DE)";"18/02/2010";"354 859";"2 030";"";"79";"30";"41";"";"116";"187";"357 155"
"DK";"";"";"42 177";"";"";"";"";"";"";"";"";"42 177"
"EE";"Acme (EE)";"19/03/2010";"6 196";"279";"";"";"";"";"";"";"";"6 475"
"ES";"Aurum Producciones";"26/03/2010";"895 012";"536";"";"169";"";"";"";"";"";"895 717"
"FI";"SF Film Finland [FS Film]";"09/04/2010";"26 118";"376";"376";"";"";"";"";"";"";"26 870"
"FR";"Pathé Distribution (FR)";"03/03/2010";"1 048 701";"";"";"";"";"";"";"";"";"1 048 701"
"GB";"StudioCanal (GB)";"16/04/2010";"699 720";"";"";"";"";"";"";"";"";"699 720"
"GR";"Odeon (GR)";"18/03/2010";"115 344";"406";"";"";"";"";"";"";"";"115 750"
"HR";"Continental Film (HR)";"26/08/2010";"4 153";"772";"";"";"";"";"";"";"";"4 925"
"HU";"Forum-Hungary";"15/07/2010";"41 369";"";"";"";"";"";"";"";"";"41 369"
"IE";"StudioCanal (IE)";"16/04/2010";"37 854";"";"";"";"";"";"";"";"";"37 854"
"IT";"01 Distribution";"09/04/2010";"616 183";"780";"18";"";"";"";"";"";"";"616 981"
"LT";"Acme (LT)";"17/06/2010";"720";"";"";"";"";"";"";"";"";"720"
"LV";"Acme (LV)";"19/03/2010";"7 509";"137";"";"";"";"";"";"";"";"7 646"
"NL";"Benelux Film Distribution";"20/05/2010";"75 152";"1 570";"";"";"";"";"";"";"";"76 722"
"NO";"SF Norway";"26/03/2010";"34 391";"";"";"";"";"";"";"";"";"34 391"
"PL";"Forum Film/SPI";"19/02/2010";"419 834";"";"";"";"";"";"";"";"";"419 834"
"PT";"NOS Lusomundo Audiovisuais (PT)";"15/07/2010";"83 456";"529";"";"";"";"19";"";"";"19";"84 004"
"RO";"Ro-Image 2000";"25/06/2010";"27 796";"";"";"";"";"";"";"";"";"27 796"
"RU";"Central Partnership (RU)";"05/08/2010";"166 791";"";"";"";"";"";"";"";"";"166 791"
"SE";"Svensk Filmindustri";"16/04/2010";"50 643";"208";"";"";"";"";"";"";"";"50 851"
"SI";"Continental Film (SI)";"14/07/2010";"4 597";"";"";"";"";"";"";"";"";"4 597"
"SK";"Film Europe (SK)";"07/10/2010";"7 570";"375";"42";"";"";"";"";"";"";"7 987"
"EUR EU";"";"";"4 631 913";"9 144";"579";"248";"30";"60";"";"167";"257";"4 642 141"
"EUR OBS";"";"";"4 933 360";"9 243";"725";"248";"30";"103";"58";"167";"358";"4 943 934"
"US_CA";"Summit Entertainment (US)";"19/02/2010";"1 969 778";"";"";"";"";"";"";"";"";"1 969 778"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 33779"
