"Market";"Distributor";"Release date";"2016";"2017";"Total since 2016"
"AT";"Constantin (AT)";"25/08/2016";"44 679";"";"44 679"
"BA";"Blitz Film & Video Distribution (BA)";"";"6 412";"";"6 412"
"BE";"Kinepolis Film Distribution (BE)";"31/08/2016";"117 399";"";"117 399"
"BG";"BS Films (BG)";"02/09/2016";"69 564";"";"69 564"
"CH";"Impuls Pictures";"25/08/2016";"43 065";"";"43 065"
"CY";"Odeon (CY)";"";"12 250";"";"12 250"
"CZ";"Freeman Entertainment (CZ)";"15/09/2016";"17 892";"";"17 892"
"DE";"Universum Film";"25/08/2016";"217 185";"";"217 185"
"EE";"Acme (EE)";"";"20 248";"";"20 248"
"ES";"Aurum Producciones";"07/10/2016";"333 968";"";"333 968"
"FR";"Metropolitan Filmexport";"";"604 284";"";"604 284"
"GB";"Lionsgate (GB)";"26/08/2016";"188 150";"17 223";"205 373"
"GE";"Interfilm International (GE)";"";"7 716";"";"7 716"
"GR";"Odeon (GR)";"";"56 040";"";"56 040"
"HR";"Blitz Film & Video Distribution (HR)";"08/09/2016";"22 099";"";"22 099"
"HU";"Freeman Entertainment (HU)";"01/09/2016";"83 412";"";"83 412"
"IS";"Samfilm";"09/09/2016";"4 896";"";"4 896"
"IT";"Eagle Pictures";"24/11/2016";"183 474";"32";"183 506"
"LT";"Acme (LT)";"02/09/2016";"17 246";"";"17 246"
"LV";"Acme (LV)";"09/09/2016";"14 658";"";"14 658"
"NL";"Dutch Film Works (Source Investments)";"01/09/2016";"167 053";"";"167 053"
"PL";"Monolith";"26/08/2016";"156 185";"";"156 185"
"PT";"NOS Lusomundo Audiovisuais (PT)";"25/08/2016";"185 124";"";"185 124"
"RO";"Freeman Entertainment (RO)";"26/08/2016";"175 352";"";"175 352"
"RU";"20 Century Fox - CIS / Megogo (RU)";"26/08/2016";"765 343";"";"765 343"
"SI";"Blitz Film & Video Distribution (SI)";"01/09/2016";"10 249";"";"10 249"
"SK";"Forum Film Slovakia";"08/09/2016";"16 219";"";"16 219"
"TR";"Mars Dagitim";"26/08/2016";"1 123 237";"";"1 123 237"
"EUR EU";"";"";"2 712 730";"17 255";"2 729 985"
"EUR OBS";"";"";"4 663 399";"17 255";"4 680 654"
"MA";"";"";"28 867";"";"28 867"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016"
" - film_id : 67787"
