"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Fox Int'l (AT)";"27/12/2016";"123 786";"52 794";"";"";"";"176 580"
"BA";"Blitz Film & Video Distribution (BA)";"";"2 929";"13 962";"";"";"";"16 891"
"BE";"20th Century Fox (BE)";"21/12/2016";"108 587";"65 948";"";"";"";"174 535"
"BG";"Aleksandra";"30/12/2016";"34 311";"83 735";"";"";"";"118 046"
"CH";"20th Century Fox (CH)";"21/12/2016";"31 418";"103 548";"";"";"";"134 966"
"CY";"";"";"";"12 083";"";"";"";"12 083"
"CZ";"CinemArt (CZ)";"29/12/2016";"53 917";"75 631";"154";"";"";"129 702"
"DE";"20th Century Fox (DE)";"27/12/2016";"428 826";"522 131";"";"148";"729";"951 834"
"DK";"SF Studios (DK)";"05/01/2017";"";"70 685";"";"";"";"70 685"
"EE";"ETD";"30/12/2016";"8 061";"24 543";"";"";"";"32 604"
"ES";"Hispano Foxfilms";"23/12/2016";"642 002";"433 029";"109";"";"";"1 075 140"
"FI";"FS Film (FI)";"28/12/2016";"33 601";"44 124";"";"";"";"77 725"
"FR";"20th Century Fox (FR)";"";"882 241";"";"";"";"";"882 241"
"GB";"20th Century Fox (GB)";"06/01/2017";"";"1 068 809";"";"";"";"1 068 809"
"GE";"Times Moment Entertainment (GE)";"";"636";"";"";"";"";"636"
"GR";"Odeon (GR)";"05/01/2017";"";"133 010";"";"";"";"133 010"
"HR";"Blitz Film & Video Distribution (HR)";"29/12/2016";"13 445";"43 303";"";"";"";"56 748"
"HU";"Intercom";"29/12/2016";"60 264";"89 682";"";"";"";"149 946"
"IS";"Sena";"30/12/2016";"1 538";"6 308";"";"";"";"7 846"
"IT";"20th Century Fox (IT)";"04/01/2017";"";"916 447";"";"";"";"916 447"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"23/12/2016";"18 069";"13 158";"";"";"";"31 227"
"LU";"";"";"";"5 893";"";"";"";"5 893"
"LV";"LTD Latvian Theatrical Distribution";"30/12/2016";"3 689";"17 250";"";"";"";"20 939"
"ME";"MCF (ME)";"";"";"3 368";"";"";"";"3 368"
"MK";"MCF(MK)";"";"";"7 780";"";"";"";"7 780"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"05/01/2017";"";"242 569";"";"";"";"242 569"
"NO";"20th Century Fox (NO)";"06/01/2017";"7 956";"87 440";"";"";"";"95 396"
"PL";"Imperial Cinepix";"06/01/2017";"6 185";"309 690";"";"";"";"315 875"
"PT";"Big Picture 2 Films";"05/01/2017";"";"172 097";"";"";"";"172 097"
"RO";"Odeon Cineplex";"06/01/2017";"";"250 179";"";"";"";"250 179"
"RU";"20 Century Fox - CIS (RU)";"05/01/2017";"";"3 201 994";"";"";"";"3 201 994"
"SE";"20th Century Fox (SE)";"11/01/2017";"";"127 017";"";"";"";"127 017"
"SI";"Blitz Film & Video Distribution (SI)";"29/12/2016";"4 810";"12 215";"";"";"";"17 025"
"SK";"CinemaArt (SK)";"29/12/2016";"24 952";"33 744";"";"";"";"58 696"
"TR";"Tme";"23/12/2016";"299 920";"294 165";"150";"";"";"594 235"
"EUR EU";"";"";"2 446 746";"4 819 766";"263";"148";"729";"7 267 652"
"EUR OBS";"";"";"2 791 143";"8 538 331";"413";"148";"729";"11 330 764"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 67830"
