"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Constantin Film (AT)";"26/09/2008";"70 390";"1 077";"";"";"";"";"";"";"";"";"";"";"";"";"71 467"
"BE";"Kinepolis Film Distribution (BE)";"28/01/2009";"";"5 150";"";"";"";"";"";"";"";"";"";"";"";"";"5 150"
"CH";"Pathé Films (CH)";"02/10/2008";"60 185";"572";"";"";"";"";"";"";"";"";"10";"";"";"10";"60 767"
"CY";"Odeon (CY)";"20/03/2009";"";"775";"264";"";"";"";"";"";"";"";"";"";"";"";"1 039"
"CZ";"Bontonfilm";"09/04/2009";"";"10 777";"802";"262";"";"258";"30";"";"";"";"";"";"";"288";"12 129"
"DE";"Constantin Film (DE)";"25/09/2008";"2 404 734";"77 983";"";"";"";"";"304";"428";"224";"58";"111";"100";"54";"1 279";"2 483 996"
"DK";"Nordisk Film Distribution (DK)";"24/04/2009";"";"109 815";"26";"";"";"";"";"";"";"";"";"";"";"";"109 841"
"ES";"Aurum Producciones";"13/03/2009";"";"15 962";"";"64";"";"";"";"";"";"";"";"";"";"";"16 026"
"FI";"Nordisk Film Theatrical Dist.";"24/10/2008";"7 978";"1 677";"";"";"";"";"";"";"";"";"";"";"";"";"9 655"
"FR";"Metropolitan Filmexport";"12/11/2008";"49 586";"";"";"";"";"";"";"";"";"";"";"";"";"";"49 586"
"GB";"Momentum Pictures (GB)";"14/11/2008";"75 883";"6 250";"";"";"";"";"";"";"";"";"";"";"";"";"82 133"
"GR";"Odeon (GR)";"30/10/2008";"23 091";"";"285";"";"";"";"";"";"";"";"";"";"";"";"23 376"
"HR";"Blitz Film & Video Distribution (HR)";"29/01/2009";"";"2 451";"";"";"";"";"";"";"";"";"";"";"";"";"2 451"
"IT";"Bim Distribuzione";"31/10/2008";"51 520";"3 611";"";"";"";"";"";"";"";"";"";"";"";"";"55 131"
"NL";"A-Film (NL)";"20/11/2008";"24 304";"8 944";"127";"84";"13";"";"";"";"";"";"";"";"";"13";"33 472"
"NO";"Nordisk Filmdistribusjon";"31/10/2008";"11 964";"1 095";"";"";"";"";"";"";"";"";"";"";"";"";"13 059"
"PL";"Monolith";"20/03/2009";"";"6 005";"975";"245";"";"";"";"";"";"";"";"";"";"";"7 225"
"PT";"NOS Lusomundo Audiovisuais (PT)";"29/01/2009";"";"2 738";"";"";"";"";"46";"";"";"";"";"";"";"46";"2 784"
"SE";"Nordisk Film";"17/10/2008";"26 559";"3 184";"";"";"";"";"";"";"";"";"";"";"";"";"29 743"
"SK";"Tatra Film";"04/06/2009";"";"1 330";"26";"";"";"";"";"";"";"";"";"";"";"";"1 356"
"EUR EU";"";"";"2 734 045";"257 729";"2 505";"655";"13";"258";"380";"428";"224";"58";"111";"100";"54";"1 626";"2 996 560"
"EUR OBS";"";"";"2 806 194";"259 396";"2 505";"655";"13";"258";"380";"428";"224";"58";"121";"100";"54";"1 636";"3 070 386"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30226"
