"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2011";"2012";"2013";"2019";"2011-2019";"Total since 2006"
"AT";"";"02/06/2006";"67 315";"";"";"";"";"";"";"";"";"67 315"
"BE";"UIP (BE)";"05/07/2006";"174 524";"";"";"";"";"";"";"";"";"174 524"
"CH";"Universal Pictures (CH)";"01/06/2006";"42 012";"";"";"";"";"";"";"45";"45";"42 057"
"CZ";"Bontonfilm";"24/08/2006";"66 807";"2 807";"116";"36";"186";"60";"";"";"246";"70 012"
"DE";"UIP (DE)";"01/06/2006";"258 314";"";"";"";"";"";"";"";"";"258 314"
"DK";"UIP (DK)";"11/08/2006";"24 119";"";"";"17";"";"";"";"";"";"24 136"
"EE";"Forum Cinemas (EE)";"09/08/2006";"2 154";"";"";"";"";"";"";"";"";"2 154"
"ES";"Universal Pictures Int'l Spain";"21/08/2006";"513 378";"536";"";"";"";"";"";"";"";"513 914"
"FI";"Finnkino/UIP (FI)";"18/08/2006";"33 293";"1";"";"";"";"";"";"";"";"33 294"
"FR";"Mars Films (FR)";"12/07/2006";"551 774";"";"";"";"";"";"";"";"";"551 774"
"GB";"UIP (GB)";"02/06/2006";"595 600";"";"";"";"";"";"";"";"";"595 600"
"HU";"UIP-Dunafilm";"17/08/2006";"36 056";"";"";"";"";"";"";"";"";"36 056"
"IS";"";"";"5 953";"";"";"";"";"";"";"";"";"5 953"
"IT";"UIP (IT)";"06/07/2006";"411 512";"217";"";"";"";"";"";"";"";"411 729"
"LV";"Forum Cinemas (LV)";"01/09/2006";"9 815";"";"";"";"";"";"";"";"";"9 815"
"NL";"Universal Pictures Int (NL)";"29/06/2006";"120 320";"323";"";"";"";"";"";"";"";"120 643"
"NO";"UIP (NO)";"18/08/2006";"61 494";"140";"";"";"";"";"";"";"";"61 634"
"PL";"UIP (PL)";"01/09/2006";"188 866";"1 091";"";"";"";"";"";"";"";"189 957"
"PT";"ZON Lusomundo Audiovisuais";"24/08/2006";"190 195";"26";"";"";"";"";"";"";"";"190 221"
"RO";"Ro-Image 2000";"";"4 092";"74";"";"";"";"";"";"";"";"4 166"
"SE";"UIP / Universal";"18/08/2006";"74 248";"12";"";"";"";"";"";"";"";"74 260"
"SI";"Karantanija Cinemas";"31/08/2006";"7 684";"248";"";"";"";"";"450";"";"450";"8 382"
"SK";"Tatra Film";"24/08/2006";"23 674";"368";"";"";"";"";"";"";"";"24 042"
"TR";"UIP (TR)";"01/09/2006";"41 410";"";"";"";"";"";"";"";"";"41 410"
"EUR EU";"";"";"3 353 740";"5 703";"116";"53";"186";"60";"450";"";"696";"3 360 308"
"EUR OBS";"";"";"3 504 609";"5 843";"116";"53";"186";"60";"450";"45";"741";"3 511 362"
"US_CA";"";"";"4 819 409";"";"";"";"";"";"";"";"";"4 819 409"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2013, 2012, 2011, 2009, 2008, 2007, 2006"
" - film_id : 25635"
