"Market";"Distributor";"Release date";"2003";"2004";"2005";"2014";"2015";"2019";"2015-2019";"Total since 2003"
"BE";"";"";"245 142";"";"";"";"";"";"";"245 142"
"BG";"Sunny";"19/09/2003";"23 223";"25 095";"";"";"";"";"";"48 318"
"CH";"";"";"119 203";"7 268";"";"";"";"";"";"126 471"
"CZ";"Bontonfilm";"11/09/2003";"19 278";"372";"225";"";"";"";"";"19 875"
"DE";"Concorde Filmverleih";"13/11/2003";"455 781";"11 912";"";"";"26";"175";"201";"467 894"
"DK";"UIP (DK)";"";"57 130";"";"27";"";"";"";"";"57 157"
"EE";"MPDE";"21/11/2003";"8 845";"";"";"";"";"";"";"8 845"
"ES";"";"";"866 252";"2 916";"";"";"";"";"";"869 168"
"FI";"";"";"34 941";"44";"";"";"";"";"";"34 985"
"FR";"";"";"636 342";"748";"";"";"";"";"";"637 090"
"GB";"UIP (GB)";"19/09/2003";"1 614 795";"";"";"";"";"";"";"1 614 795"
"HU";"";"";"91 484";"";"";"";"";"";"";"91 484"
"IS";"";"";"8 880";"";"";"";"";"";"";"8 880"
"IT";"";"";"413 245";"651";"";"";"";"";"";"413 896"
"LT";"";"";"17 563";"";"";"";"";"";"";"17 563"
"NL";"Universal Pictures Int (NL)";"04/09/2003";"268 202";"";"";"66";"";"";"";"268 268"
"NO";"";"";"27 159";"";"";"";"";"";"";"27 159"
"PL";"";"";"60 506";"";"";"";"";"";"";"60 506"
"RO";"";"";"46 704";"1 139";"";"";"";"";"";"47 843"
"SE";"";"";"37 946";"";"";"";"";"";"";"37 946"
"SK";"Tatra Film";"11/09/2003";"6 697";"";"";"";"";"";"";"6 697"
"TR";"";"";"161 803";"";"";"";"";"";"";"161 803"
"EUR EU";"";"";"4 904 076";"42 877";"252";"66";"26";"175";"201";"4 947 472"
"EUR OBS";"";"";"5 221 121";"50 145";"252";"66";"26";"175";"201";"5 271 785"
"US_CA";"";"";"17 600 099";"";"";"";"";"";"";"17 600 099"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2015, 2014, 2005, 2004, 2003"
" - film_id : 20593"
