"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Constantin Film (AT)";"20/02/2015";"";"106 210";"";"";"";"";"";"";"106 210"
"BA";"Blitz Film & Video Distribution (BA)";"29/01/2015";"";"6 736";"";"";"";"";"";"";"6 736"
"BE";"Utopia Distribution (BE)";"26/11/2014";"101 336";"";"181";"";"168";"";"";"168";"101 685"
"BG";"A Plus Cinema";"02/01/2015";"";"13 136";"28";"120";"92";"47";"";"139";"13 423"
"CH";"Pathé Films (CH)";"26/11/2014";"36 353";"47 314";"";"";"29";"";"";"29";"83 696"
"CZ";"Bioscop (AQS)";"05/03/2015";"";"80 608";"3 406";"208";"68";"361";"";"429";"84 651"
"DE";"LEONINE Distribution GmbH";"26/02/2015";"";"532 107";"799";"";"";"";"247";"247";"533 153"
"DK";"SF Film (DK)";"11/06/2015";"";"39 262";"";"";"";"";"";"";"39 262"
"EE";"Aurum Distribution (EE)";"30/01/2015";"";"4 817";"";"";"";"";"";"";"4 817"
"ES";"Warner Bros. Entertainment Espana";"30/04/2015";"";"161 758";"1 107";"";"248";"764";"";"1 012";"163 877"
"FI";"SF Film Finland [FS Film]";"03/04/2015";"";"39 534";"";"";"";"";"";"";"39 534"
"FR";"SND Films";"26/11/2014";"2 224 426";"";"";"";"";"";"255";"255";"2 224 681"
"GB";"Kaleidoscope";"19/08/2016";"";"";"29 473";"445";"64";"";"";"64";"29 982"
"GR";"Village";"";"43 193";"71 188";"";"";"";"";"";"";"114 381"
"HR";"Blitz Film & Video Distribution (HR)";"29/01/2015";"";"43 401";"140";"";"";"";"";"";"43 541"
"HU";"Intercom";"25/12/2014";"17 920";"21 523";"";"";"";"";"";"";"39 443"
"IS";"Myndform";"17/04/2015";"";"8 592";"";"";"";"";"";"";"8 592"
"IT";"Koch Media (IT)";"15/01/2015";"";"341 073";"241";"";"";"";"";"";"341 314"
"LT";"Top Film (LT)";"19/12/2014";"10 572";"3 785";"";"";"";"";"";"";"14 357"
"LV";"TFB Top Film Baltic (LV)";"03/04/2015";"";"6 188";"";"";"";"";"";"";"6 188"
"ME";"";"";"";"3 027";"3 027";"";"";"";"";"";"6 054"
"NL";"Entertainment One Benelux";"17/12/2014";"35 983";"";"41";"";"";"";"";"";"36 024"
"NO";"SF Norway";"27/03/2015";"";"35 273";"";"";"";"";"";"";"35 273"
"PL";"Best Film";"27/02/2015";"";"199 403";"2 256";"";"";"";"";"";"201 659"
"PT";"NOS Lusomundo Audiovisuais (PT)";"21/05/2015";"";"81 434";"28";"79";"";"";"";"";"81 541"
"RO";"Intercomfilm";"02/01/2015";"";"45 144";"";"";"";"";"";"";"45 144"
"RU";"Paradise";"18/12/2014";"451 831";"12 112";"";"";"";"";"";"";"463 943"
"SE";"Svensk Filmindustri";"01/04/2015";"";"20 410";"";"";"";"";"";"";"20 410"
"SI";"Blitz Film & Video Distribution (SI)";"29/01/2015";"";"9 531";"";"";"";"";"";"";"9 531"
"SK";"Magic Box Slovakia";"05/03/2015";"";"30 811";"171";"192";"18";"93";"";"111";"31 285"
"TR";"Mars Dagitim";"27/02/2015";"";"120 553";"397";"";"";"";"";"";"120 950"
"EUR EU";"";"";"2 433 430";"1 851 323";"37 871";"1 044";"658";"1 265";"502";"2 425";"4 326 093"
"EUR OBS";"";"";"2 921 614";"2 084 930";"41 295";"1 044";"687";"1 265";"502";"2 454";"5 051 337"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47030"
