"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"Total since 2000"
"AT";"";"";"46 346";"46";"";"";"";"46 392"
"BE";"";"";"524 449";"1 195";"36";"";"";"525 680"
"BG";"";"";"3 998";"20 453";"";"";"";"24 451"
"CH";"";"";"227 616";"1 975";"";"";"";"229 591"
"CZ";"Intersonic (CZ)";"31/05/2001";"";"48 484";"";"";"5";"48 489"
"DE";"";"";"298 969";"2 328";"172";"";"";"301 469"
"DK";"";"";"26 912";"346";"39";"";"";"27 297"
"ES";"";"";"";"186 285";"1 815";"120";"";"188 220"
"FI";"";"";"4 278";"";"";"";"";"4 278"
"FR";"";"";"10 235 516";"3 401";"45";"258";"";"10 239 220"
"GB";"Metrodome";"29/06/2001";"";"3 744";"";"";"";"3 744"
"GR";"Prooptiki (GR)";"25/07/2003";"";"";"";"22 166";"81";"22 247"
"HU";"";"";"";"438 793";"";"";"";"438 793"
"IS";"";"";"8 885";"";"";"";"";"8 885"
"IT";"";"";"56 417";"";"";"";"";"56 417"
"LU";"";"";"33 672";"";"";"";"";"33 672"
"NL";"A-Film (NL)";"18/01/2001";"";"3 466";"";"";"";"3 466"
"NO";"";"";"12 802";"";"";"";"";"12 802"
"PL";"";"";"";"141 384";"1 998";"";"";"143 382"
"PT";"";"";"";"41 908";"";"";"";"41 908"
"RO";"";"";"";"";"762";"59";"";"821"
"RU";"";"";"41 880";"533 293";"";"";"";"575 173"
"SI";"A.G. Market";"27/12/2001";"";"9 106";"";"";"";"9 106"
"SK";"";"";"";"55 645";"";"";"";"55 645"
"TR";"Ozen Film";"02/03/2001";"";"118 082";"";"";"";"118 082"
"EUR EU";"";"";"11 230 557";"956 584";"4 867";"22 603";"86";"12 214 697"
"EUR OBS";"";"";"11 521 740";"1 609 934";"4 867";"22 603";"86";"13 159 230"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2004, 2003, 2002, 2001, 2000"
" - film_id : 15297"
