"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"Total since 2012"
"AT";"Constantin Film (AT)";"11/10/2012";"120 952";"46";"";"";"";"120 998"
"BE";"Belga Films (BE)";"03/10/2012";"262 409";"";"";"";"";"262 409"
"BG";"A Plus Cinema";"12/10/2012";"32 309";"";"";"";"";"32 309"
"CH";"JMH Distributions (CH)";"03/10/2012";"97 992";"";"";"";"";"97 992"
"CZ";"Bioscop (AQS)";"04/10/2012";"36 340";"2 661";"35";"";"";"39 036"
"DE";"Universum Film";"11/10/2012";"1 099 835";"";"";"562";"";"1 100 397"
"DK";"Scanbox Entertainment (DK)";"04/10/2012";"127 633";"746";"";"";"";"128 379"
"EE";"Intercinema (EE)";"12/10/2012";"10 246";"";"";"";"";"10 246"
"ES";"Hispano Foxfilms";"03/10/2012";"582 204";"3 501";"";"44";"";"585 749"
"FI";"Scanbox Finland";"05/10/2012";"24 211";"94";"";"";"";"24 305"
"FR";"EuropaCorp (FR)";"03/10/2012";"2 904 902";"";"";"";"";"2 904 902"
"GB";"20th Century Fox (GB)";"05/10/2012";"3 692 417";"";"";"";"";"3 692 417"
"GR";"Odeon (GR)";"";"126 369";"";"";"";"";"126 369"
"HR";"Duplicato";"04/10/2012";"79 832";"620";"";"";"";"80 452"
"HU";"ProVideo";"11/10/2012";"145 212";"";"";"";"";"145 212"
"IT";"20th Century Fox (IT)";"11/10/2012";"341 988";"185";"";"";"";"342 173"
"LU";"Belga Film (LU)";"03/10/2012";"11 028";"";"";"";"";"11 028"
"LV";"Inter Cinema";"";"7 226";"";"";"";"";"7 226"
"NL";"Independent Films (NL)";"22/11/2012";"185 217";"6 473";"";"";"";"191 690"
"NO";"Scanbox (NO)";"05/10/2012";"152 990";"";"";"";"";"152 990"
"PL";"Monolith";"05/10/2012";"388 193";"80";"";"3 305";"";"391 578"
"PT";"Big Picture 2 Films";"04/10/2012";"156 187";"173";"";"";"";"156 360"
"RO";"Media Pro Distributions";"12/10/2012";"141 729";"642";"214";"";"";"142 585"
"RU";"Central Partnership (RU)";"04/10/2012";"568 670";"";"";"259";"";"568 929"
"SE";"Scanbox Entertainment (SE)";"05/10/2012";"187 078";"292";"";"";"";"187 370"
"SI";"Blitz Film & Video Distribution (SI)";"04/10/2012";"22 599";"114";"";"";"";"22 713"
"SK";"Magic Box Slovakia";"11/10/2012";"41 684";"332";"48";"";"11";"42 075"
"TR";"Tiglon";"05/10/2012";"118 430";"472";"";"";"";"118 902"
"EUR EU";"";"";"10 727 800";"15 959";"297";"3 911";"11";"10 747 978"
"EUR OBS";"";"";"11 665 882";"16 431";"297";"4 170";"11";"11 686 791"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2012"
" - film_id : 39231"
