"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"BE";"Belga Films (BE)";"18/03/2020";"";"60 946";"60 946"
"CH";"Elite Film";"19/12/2019";"2 859";"25 074";"27 933"
"CZ";"Bohemia Motion Pictures (CZ)";"01/10/2020";"";"3 925";"3 925"
"ES";"Warner Bros. Entertainment Espana";"18/09/2020";"";"388 191";"388 191"
"FR";"";"";"";"2 765";"2 765"
"GB";"Vertigo (GB)";"14/08/2020";"";"122 801";"122 801"
"GR";"Odeon (GR)";"11/06/2020";"";"8 254";"8 254"
"HR";"Discovery (HR)";"24/09/2020";"";"3 375";"3 375"
"IT";"01 Distribution";"19/12/2019";"1 654 179";"611 171";"2 265 350"
"LU";"";"";"";"759";"759"
"ME";"MCF (ME)";"";"";"200";"200"
"MK";"MCF MKD (MK)";"";"";"92";"92"
"NL";"Independent Films (NL)";"23/07/2020";"";"120 178";"120 178"
"NO";"Fidalgo Filmdistribusjon (NO)";"25/12/2020";"";"3 584";"3 584"
"PL";"Kino Swiat";"09/10/2020";"";"50 659";"50 659"
"PT";"NOS Lusomundo Audiovisuais (PT)";"05/11/2020";"";"5 515";"5 515"
"RU";"Volga (RU)";"12/03/2020";"";"56 924";"56 924"
"SI";"Cinemania Group";"10/09/2020";"";"1 422";"1 422"
"SK";"Continental Film (SK)";"03/09/2020";"";"5 590";"5 590"
"TR";"Bir Film";"13/11/2020";"";"910";"910"
"EUR EU";"";"";"1 654 179";"1 385 551";"3 039 730"
"EUR OBS";"";"";"1 657 038";"1 472 335";"3 129 373"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 84681"
