"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2006";"2010";"2013";"2006-2013";"Total since 2001"
"BE";"";"";"29 486";"";"";"";"";"";"";"";"29 486"
"CH";"";"";"39 911";"";"";"";"";"";"";"";"39 911"
"CZ";"Bioscop (AQS)";"22/08/2002";"";"74 606";"3 637";"83";"";"";"";"";"78 326"
"EE";"BDG Film";"10/05/2002";"";"4 955";"";"";"";"";"";"";"4 955"
"ES";"Vertigo Films (ES)";"22/01/2002";"";"586 790";"98";"";"8";"59";"984";"1 051";"587 939"
"FI";"";"";"";"296";"";"";"";"";"";"";"296"
"FR";"";"";"1 861 075";"3 186";"205";"";"";"";"";"";"1 864 466"
"HU";"";"";"";"29 527";"";"";"";"";"";"";"29 527"
"IT";"Medusa Film";"03/01/2002";"";"203 070";"";"";"";"";"";"";"203 070"
"LT";"Acme (LT)";"22/02/2002";"";"11 956";"";"";"";"";"";"";"11 956"
"LU";"";"";"4 614";"";"";"";"";"";"";"";"4 614"
"NO";"";"";"";"589";"";"";"";"";"";"";"589"
"PL";"Vision";"01/02/2002";"";"45 244";"";"60";"";"";"";"";"45 304"
"RO";"New Films Intl.";"12/07/2002";"";"37 240";"1 271";"65";"40";"";"";"40";"38 616"
"RU";"";"";"185 808";"";"";"";"";"";"";"";"185 808"
"SE";"";"";"";"";"485";"";"";"";"";"";"485"
"SK";"Continental Film (SK)";"05/12/2002";"";"8 713";"7 717";"10";"";"";"";"";"16 440"
"TR";"Ozen Film";"27/12/2002";"";"39 428";"";"";"";"";"";"";"39 428"
"EUR EU";"";"";"1 895 175";"1 005 583";"13 413";"218";"48";"59";"984";"1 091";"2 915 480"
"EUR OBS";"";"";"2 120 894";"1 045 600";"13 413";"218";"48";"59";"984";"1 091";"3 181 216"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2010, 2006, 2004, 2003, 2002, 2001"
" - film_id : 17518"
