"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"Total since 2003"
"BE";"Alternative Films (BE)";"29/01/2003";"347 558";"";"2 713";"791";"351 062"
"BG";"Vadi Van Kris";"04/04/2003";"26 746";"";"";"";"26 746"
"CH";"";"";"142 032";"";"";"";"142 032"
"CZ";"Hollywood";"10/04/2003";"57 038";"101";"24";"";"57 163"
"EE";"MPDE";"18/04/2003";"3 770";"";"";"";"3 770"
"ES";"Tripictures";"05/05/2003";"226 468";"1 738";"101";"";"228 307"
"FR";"";"";"6 087 159";"150";"";"";"6 087 309"
"GR";"Prooptiki (GR)";"14/11/2003";"17 502";"2 265";"";"";"19 767"
"HU";"";"";"370 273";"";"";"";"370 273"
"IS";"";"";"";"2 639";"";"";"2 639"
"LT";"Acme (LT)";"14/03/2003";"16 471";"17";"";"";"16 488"
"LU";"";"";"25 234";"";"";"";"25 234"
"LV";"";"";"6 670";"";"";"";"6 670"
"NL";"";"";"10 324";"";"";"";"10 324"
"PL";"";"";"90 793";"154";"";"";"90 947"
"PT";"";"";"45 741";"";"";"";"45 741"
"RO";"";"";"7 437";"485";"";"";"7 922"
"SK";"Continental Film (SK)";"10/07/2003";"28 320";"219";"";"";"28 539"
"TR";"";"";"73 003";"";"";"";"73 003"
"EUR EU";"";"";"7 367 504";"5 129";"2 838";"791";"7 376 262"
"EUR OBS";"";"";"7 582 539";"7 768";"2 838";"791";"7 593 936"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2005, 2004, 2003"
" - film_id : 20705"
