"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2014";"2015";"2017";"2020";"2006-2020";"Total since 2002"
"AT";"Stadtkino Filmverleih";"18/10/2002";"7 312";"19 040";"1 555";"443";"";"";"";"";"";"";"";"";"";"";"";"28 350"
"BE";"";"";"";"";"122";"";"";"";"";"";"";"";"";"";"";"";"";"122"
"CH";"Agora Films";"11/09/2002";"55 349";"84 477";"";"158";"";"82";"18";"";"52";"106";"";"";"";"";"258";"140 242"
"DE";"Ventura Film (DE)";"16/01/2003";"";"263 650";"3 483";"";"";"";"";"";"";"";"7";"";"53";"";"60";"267 193"
"DK";"Husets Biograf";"";"";"";"18 740";"341";"";"";"";"";"";"";"";"";"";"";"";"19 081"
"ES";"Karma Films";"30/12/2003";"";"1 287";"142 030";"263";"206";"";"75";"";"";"";"";"";"";"";"281";"143 861"
"FI";"Cinema Mondo";"23/01/2004";"";"";"5 709";"";"";"";"";"";"";"";"";"";"";"";"";"5 709"
"FR";"Les Films du Losange";"28/08/2002";"1 547 088";"260 626";"5 806";"";"205";"";"";"";"";"";"";"";"";"";"205";"1 813 725"
"GB";"Tartan Films (GB)";"20/06/2003";"";"145 976";"787";"";"";"";"";"";"";"";"";"18";"";"";"18";"146 781"
"GR";"Playtime Releasing EPE";"27/04/2003";"";"5 317";"1 124";"646";"";"";"";"";"";"";"";"";"";"";"";"7 087"
"HU";"Best Hollywood";"11/03/2004";"";"";"1 541";"1 179";"";"";"";"";"";"";"";"";"";"";"";"2 720"
"IE";"";"";"";"4 118";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 118"
"IT";"Bim Distribuzione";"07/02/2003";"";"123 025";"786";"91";"";"47";"8";"116";"";"";"";"";"65";"";"236";"124 138"
"NL";"Contact Film";"17/03/2003";"";"143 383";"35 357";"3 392";"";"";"";"";"";"";"";"";"";"";"";"182 132"
"NO";"Arthaus (NO)";"05/03/2004";"";"";"23 279";"485";"142";"25";"131";"";"2";"";"";"";"";"";"300";"24 064"
"PL";"Gutek Film";"16/04/2004";"";"";"21 377";"1 394";"";"";"";"";"";"";"";"";"";"";"";"22 771"
"PT";"NAE - New Age Entertainment";"15/01/2004";"";"";"6 930";"";"";"";"61";"";"";"";"";"";"50";"42";"153";"7 083"
"SE";"Folkets Bio";"26/09/2003";"";"17 286";"16 795";"376";"";"35";"36";"";"";"";"";"";"";"";"71";"34 528"
"EUR EU";"";"";"1 554 400";"983 708";"262 142";"8 125";"411";"82";"180";"116";"";"";"7";"18";"168";"42";"1 024";"2 809 399"
"EUR OBS";"";"";"1 609 749";"1 068 185";"285 421";"8 768";"553";"189";"329";"116";"54";"106";"7";"18";"168";"42";"1 582";"2 973 705"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2015, 2014, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18901"
