"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Const/PPI (AT)";"02/08/2018";"229 468";"";"";"229 468"
"BA";"Una Film";"26/07/2018";"19 202";"";"";"19 202"
"BE";"Sony Pictures Paramount (BE)";"01/08/2018";"268 777";"";"";"268 777"
"BG";"Forum Film (BG)";"27/07/2018";"86 270";"699";"";"86 969"
"CH";"Walt Disney (CH)";"01/08/2018";"198 400";"6";"";"198 406"
"CY";"Paramount (CY)";"";"10 237";"";"";"10 237"
"CZ";"CinemArt (CZ)";"02/08/2018";"144 972";"1 268";"139";"146 379"
"DE";"Paramount (DE)";"02/08/2018";"1 285 749";"266";"1 509";"1 287 524"
"DK";"UIP (DK)";"02/08/2018";"244 758";"";"";"244 758"
"EE";"VaataFilmi";"10/08/2018";"43 040";"";"";"43 040"
"ES";"Paramount Spain";"25/07/2018";"1 058 279";"133";"";"1 058 412"
"FI";"Finnkino";"03/08/2018";"109 640";"";"";"109 640"
"FR";"Paramount Pictures (FR)";"01/08/2018";"3 021 982";"";"1 644";"3 023 626"
"GB";"Paramount (GB)";"27/07/2018";"3 363 231";"";"173";"3 363 404"
"GR";"Odeon (GR)";"30/08/2018";"145 725";"";"";"145 725"
"HR";"Blitz Film & Video Distribution (HR)";"";"72 068";"";"";"72 068"
"HU";"UIP-Dunafilm";"02/08/2018";"211 653";"";"";"211 653"
"IS";"Samfilm";"03/08/2018";"32 175";"";"";"32 175"
"IT";"20th Century Fox (IT)";"29/08/2018";"767 261";"";"20";"767 281"
"LT";"NCG Distribution / Paramount Pictures";"17/08/2018";"27 536";"";"";"27 536"
"LU";"";"";"20 929";"";"";"20 929"
"LV";"Forum Cinemas (LV)";"10/08/2018";"36 416";"";"";"36 416"
"ME";"";"";"3 640";"";"";"3 640"
"MK";"Constantin Film (MK)";"";"11 022";"";"";"11 022"
"NL";"Universal Pictures Int (NL)";"02/08/2018";"636 704";"717";"324";"637 745"
"NO";"UIP (NO)";"03/08/2018";"388 901";"63";"291";"389 255"
"PL";"UIP (PL)";"10/08/2018";"332 959";"";"";"332 959"
"PT";"NOS Lusomundo Audiovisuais (PT)";"02/08/2018";"308 818";"";"";"308 818"
"RO";"Ro-Image 2000";"03/08/2018";"239 593";"212";"";"239 805"
"RU";"Central Partnership (RU)";"26/07/2018";"1 818 278";"";"";"1 818 278"
"SE";"Paramount (SE)";"03/08/2018";"244 018";"";"";"244 018"
"SI";"Karantanija Cinemas";"16/08/2018";"29 847";"";"";"29 847"
"SK";"CinemaArt (SK)";"02/08/2018";"45 674";"80";"10";"45 764"
"TR";"UIP (TR)";"27/07/2018";"645 061";"";"";"645 061"
"EUR EU";"";"";"12 985 604";"3 375";"3 819";"12 992 798"
"EUR OBS";"";"";"16 102 283";"3 444";"4 110";"16 109 837"
"MA";"";"";"41 600";"";"";"41 600"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77585"
