"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Constantin (AT)";"20/10/2016";"169 798";"";"";"";"";"169 798"
"BA";"Una Film";"";"12 481";"";"";"";"";"12 481"
"BE";"Sony Pictures Universal (BE)";"12/10/2016";"213 345";"";"";"";"";"213 345"
"BG";"Forum Film (BG)";"16/09/2016";"36 496";"";"";"";"";"36 496"
"CH";"Universal Pictures (CH)";"22/09/2016";"165 264";"177";"";"";"";"165 441"
"CY";"Universal (CY)";"";"8 125";"";"";"";"";"8 125"
"CZ";"CinemArt (CZ)";"15/09/2016";"394 810";"9 904";"402";"564";"19";"405 699"
"DE";"StudioCanal (DE)";"20/10/2016";"1 180 490";"7 151";"38 653";"81";"";"1 226 375"
"DK";"UIP (DK)";"15/09/2016";"250 425";"";"";"";"";"250 425"
"EE";"VaataFilmi";"16/09/2016";"42 311";"15";"";"";"";"42 326"
"ES";"Universal Pictures Int'l Spain";"08/09/2016";"855 355";"98";"";"";"";"855 453"
"FI";"Finnkino";"16/09/2016";"197 866";"379";"";"";"";"198 245"
"FR";"StudioCanal (FR)";"";"1 964 359";"";"";"";"";"1 964 359"
"GB";"Universal Pictures (GB)";"16/09/2016";"6 583 302";"11 214";"";"";"71";"6 594 587"
"GE";"Interfilm International (GE)";"";"11 048";"";"";"";"";"11 048"
"GR";"UIP (GR)";"";"46 820";"";"";"";"";"46 820"
"HR";"Blitz Film & Video Distribution (HR)";"15/09/2016";"53 958";"";"";"";"";"53 958"
"HU";"UIP-Dunafilm";"15/09/2016";"335 982";"455";"";"";"";"336 437"
"IS";"Myndform";"26/09/2016";"34 601";"";"";"";"";"34 601"
"IT";"Universal (IT)";"22/09/2016";"950 999";"1 640";"";"";"";"952 639"
"LT";"NCG Distribution / Paramount Pictures";"16/09/2016";"42 788";"150";"";"";"";"42 938"
"LV";"Forum Cinemas (LV)";"16/09/2016";"54 256";"";"";"";"";"54 256"
"MK";"Constantin Film (MK)";"";"";"245";"";"";"";"245"
"NL";"Universal Pictures Int (NL)";"15/09/2016";"1 190 957";"1 125";"24";"";"";"1 192 106"
"NO";"UIP (NO)";"16/09/2016";"299 260";"21";"";"";"";"299 281"
"PL";"UIP (PL)";"16/09/2016";"1 179 946";"1 393";"";"";"";"1 181 339"
"PT";"NOS Lusomundo Audiovisuais (PT)";"15/09/2016";"102 038";"";"";"";"";"102 038"
"RO";"Ro-Image 2000";"16/09/2016";"69 627";"177";"";"";"";"69 804"
"RU";"Universal Pictures Int'l - UPI (RU)";"15/09/2016";"882 343";"";"";"";"";"882 343"
"SE";"Universal/UIP (SE)";"16/09/2016";"381 349";"";"";"";"";"381 349"
"SI";"Karantanija Cinemas";"15/09/2016";"54 352";"";"";"";"";"54 352"
"SK";"CinemaArt (SK)";"15/09/2016";"114 790";"668";"";"";"";"115 458"
"TR";"UIP (TR)";"16/09/2016";"87 706";"";"";"";"";"87 706"
"EUR EU";"";"";"16 474 544";"34 369";"39 079";"645";"90";"16 548 727"
"EUR OBS";"";"";"17 967 247";"34 812";"39 079";"645";"90";"18 041 873"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 67873"
