"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"Total since 2012"
"BE";"Alternative Films (BE)";"04/04/2012";"244 327";"";"165";"170";"244 662"
"CH";"Pathé Films (CH)";"04/04/2012";"119 211";"13";"";"";"119 224"
"CZ";"A-Company Czech";"02/05/2013";"";"";"";"37";"37"
"ES";"Selectavision";"25/01/2014";"";"";"340";"";"340"
"FR";"Pathé Distribution (FR)";"04/04/2012";"5 303 217";"";"";"";"5 303 217"
"HU";"Budapestfilm";"16/08/2012";"7 444";"239";"103";"";"7 786"
"IT";"Made in Italy Film";"28/03/2013";"";"4 870";"";"";"4 870"
"LU";"Alternative Film (LU)";"04/04/2012";"10 241";"";"";"";"10 241"
"PL";"ITI Cinema";"28/09/2012";"150 266";"550";"";"";"150 816"
"PT";"ZON Lusomundo Cinemas";"04/04/2013";"";"1 440";"";"";"1 440"
"RU";"Volga (RU)";"02/08/2012";"348 433";"";"";"";"348 433"
"SK";"Magic Box Slovakia";"01/02/2012";"";"";"16";"";"16"
"EUR EU";"";"";"5 715 495";"7 099";"624";"207";"5 723 425"
"EUR OBS";"";"";"6 183 139";"7 112";"624";"207";"6 191 082"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2012"
" - film_id : 40113"
