"Market";"Distributor";"Release date";"2015";"2016";"2019";"Total since 2014"
"AT";"Constantin Film (AT)";"08/01/2015";"135 306";"";"";"135 306"
"BA";"Blitz Film & Video Distribution (BA)";"08/01/2015";"17 364";"";"";"17 364"
"BE";"Belga Films (BE)";"28/01/2015";"247 912";"";"";"247 912"
"BG";"A Plus Cinema";"09/01/2015";"62 504";"";"";"62 504"
"CH";"JMH Distributions (CH)";"08/01/2015";"139 693";"";"";"139 693"
"CZ";"Bioscop (AQS)";"15/01/2015";"29 898";"";"28";"29 926"
"DE";"Universum Film";"08/01/2015";"1 124 483";"";"";"1 124 483"
"DK";"Scanbox Entertainment (DK)";"08/01/2015";"201 493";"";"";"201 493"
"EE";"Acme Film";"17/04/2015";"4 166";"";"";"4 166"
"ES";"Hispano Foxfilms";"09/01/2015";"443 909";"";"";"443 909"
"FI";"Finnkino";"16/01/2015";"42 276";"";"";"42 276"
"FR";"EuropaCorp (FR)";"21/01/2015";"2 613 428";"";"";"2 613 428"
"GB";"20th Century Fox (GB)";"09/01/2015";"2 451 402";"";"";"2 451 402"
"GR";"Odeon (GR)";"";"174 279";"";"";"174 279"
"HR";"Blitz Film & Video Distribution (HR)";"08/01/2015";"65 459";"";"";"65 459"
"HU";"Freeman Entertainment (HU)";"08/01/2015";"269 313";"";"";"269 313"
"IS";"Sena";"12/01/2015";"16 133";"";"";"16 133"
"IT";"20th Century Fox (IT)";"11/02/2015";"244 866";"";"";"244 866"
"LT";"Acme (LT)";"17/04/2015";"3 478";"";"";"3 478"
"LU";"Belga Film (LU)";"21/01/2015";"8 628";"";"";"8 628"
"LV";"Acme (LV)";"17/04/2015";"1 943";"";"";"1 943"
"ME";"";"";"2 446";"2 446";"";"4 892"
"NL";"Independent Films (NL)";"15/01/2015";"290 856";"";"";"290 856"
"NO";"Norsk Filmdistribusjon";"09/01/2015";"135 281";"";"";"135 281"
"PL";"Monolith";"09/01/2015";"414 464";"";"";"414 464"
"PT";"Big Picture 2 Films";"15/01/2015";"128 240";"";"";"128 240"
"RO";"Freeman Entertainment (RO)";"09/01/2015";"197 802";"35";"";"197 837"
"RU";"20 Century Fox - CIS (RU)";"15/01/2015";"766 352";"";"";"766 352"
"SE";"Scanbox Entertainment (SE)";"08/01/2015";"192 261";"";"";"192 261"
"SI";"Blitz Film & Video Distribution (SI)";"08/01/2015";"13 470";"";"";"13 470"
"SK";"Magic Box Slovakia";"15/01/2015";"24 497";"";"";"24 497"
"TR";"Tme";"09/01/2015";"91 814";"";"";"91 814"
"EUR EU";"";"";"9 386 333";"35";"28";"9 386 396"
"EUR OBS";"";"";"10 555 416";"2 481";"28";"10 557 925"
"MA";"";"";"32 740";"";"";"32 740"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2016, 2015"
" - film_id : 62994"
