"Market";"Distributor";"Release date";"2015";"2016";"2017";"2020";"Total since 2015"
"AT";"Constantin/Studiocanal";"07/01/2016";"";"18 968";"";"";"18 968"
"BA";"Blitz Film & Video Distribution (BA)";"";"3 251";"";"";"";"3 251"
"BE";"Entertainment One (BE)";"20/01/2016";"";"6 466";"";"";"6 466"
"BG";"A Plus Films";"15/01/2016";"";"2 556";"";"";"2 556"
"CH";"Impuls Pictures";"30/12/2015";"443";"16 570";"";"";"17 013"
"CZ";"Freeman Entertainment (CZ)";"15/10/2015";"17 213";"9";"";"";"17 222"
"DE";"StudioCanal (DE)";"07/01/2016";"";"158 999";"";"";"158 999"
"DK";"FC/SF (DK)";"12/11/2015";"7 617";"";"";"";"7 617"
"EE";"Acme Film";"16/10/2015";"10 427";"6";"";"";"10 433"
"ES";"Tripictures";"08/01/2016";"";"39 824";"";"";"39 824"
"FI";"FS Film (FI)";"13/11/2015";"12 187";"359";"";"";"12 546"
"FR";"StudioCanal (FR)";"";"";"171 490";"";"";"171 490"
"GB";"StudioCanal (GB)";"11/09/2015";"2 546 125";"577";"3";"4";"2 546 709"
"GR";"Spentzos Film";"";"29 988";"";"";"";"29 988"
"HR";"Blitz Film & Video Distribution (HR)";"08/10/2015";"20 000";"";"";"";"20 000"
"HU";"Freeman Entertainment (HU)";"14/09/2015";"77 458";"";"27";"";"77 485"
"IS";"Myndform";"12/10/2015";"6 668";"";"";"";"6 668"
"IT";"01 Distribution";"03/03/2016";"";"63 249";"";"";"63 249"
"LT";"Acme (LT)";"16/10/2015";"12 788";"";"";"";"12 788"
"LV";"Acme (LV)";"16/10/2015";"8 837";"";"";"";"8 837"
"ME";"";"";"1 390";"1 390";"";"";"2 780"
"NL";"Entertainment One Benelux";"21/01/2016";"";"13 541";"";"";"13 541"
"NO";"SF Norway";"16/10/2015";"17 988";"";"";"";"17 988"
"PL";"Monolith";"09/10/2015";"67 754";"";"";"";"67 754"
"PT";"NOS Lusomundo Audiovisuais (PT)";"29/10/2015";"18 999";"";"";"";"18 999"
"RO";"Freeman Entertainment (RO)";"16/10/2015";"97 732";"";"";"";"97 732"
"RU";"Paradise";"01/10/2015";"572 435";"";"";"";"572 435"
"SE";"SF Film (SE)";"27/11/2015";"20 161";"1 654";"";"";"21 815"
"SI";"Blitz Film & Video Distribution (SI)";"15/10/2015";"1 323";"";"";"";"1 323"
"SK";"Forum Film Slovakia";"29/10/2015";"15 939";"50";"";"";"15 989"
"TR";"MC Film (TR)";"02/10/2015";"10 081";"";"";"";"10 081"
"EUR EU";"";"";"2 964 548";"477 748";"30";"4";"3 442 330"
"EUR OBS";"";"";"3 576 804";"495 708";"30";"4";"4 072 546"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2016, 2015"
" - film_id : 64717"
