"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2019";"2020";"2011-2020";"Total since 2007"
"AT";"Universal Pictures (AT)";"09/11/2007";"40 619";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 619"
"BE";"UPI (BE)";"09/01/2008";"";"116 000";"";"";"";"";"";"";"";"";"";"";"";"";"116 000"
"CH";"Universal Pictures (CH)";"21/09/2007";"55 480";"21 530";"3";"";"";"";"";"";"";"";"";"86";"20";"106";"77 119"
"CZ";"CinemArt (CZ)";"31/01/2008";"";"70 163";"208";"";"40";"95";"";"";"136";"";"";"";"";"271";"70 642"
"DE";"Universal Pictures (DE)";"08/11/2007";"383 601";"64 863";"";"";"";"";"";"";"";"";"";"";"";"";"448 464"
"DK";"UIP (DK)";"22/02/2008";"";"36 085";"420";"";"";"";"";"";"";"";"";"";"";"";"36 505"
"EE";"Forum Cinemas (EE)";"11/01/2008";"";"13 017";"";"";"";"";"";"";"";"";"";"";"";"";"13 017"
"ES";"Universal Pictures Int'l Spain";"08/01/2008";"";"728 346";"126";"";"";"";"";"";"";"";"";"";"";"";"728 472"
"FI";"Finnkino";"28/09/2007";"33 623";"8 309";"";"";"";"";"";"";"";"";"";"";"";"";"41 932"
"FR";"StudioCanal (FR)";"09/01/2008";"";"302 865";"";"135";"";"";"";"";"";"";"";"";"";"";"303 000"
"GB";"Universal Pictures (GB)";"07/09/2007";"2 302 864";"72 408";"";"";"";"";"";"32";"5";"48";"169";"";"";"254";"2 375 526"
"HR";"Blitz Film & Video Distribution (HR)";"";"13 535";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 535"
"HU";"UIP-Dunafilm";"24/01/2008";"";"57 246";"";"";"";"";"";"";"";"";"";"";"";"";"57 246"
"IS";"Myndform";"01/02/2008";"";"8 568";"";"";"";"";"";"";"";"";"";"";"";"";"8 568"
"IT";"Universal (IT)";"21/09/2007";"175 571";"5 513";"";"";"";"";"";"";"6";"";"";"";"";"6";"181 090"
"NL";"Universal Pictures Int (NL)";"01/11/2007";"127 049";"75 478";"1 845";"34";"40";"14";"4";"138";"";"";"";"";"";"196";"204 602"
"NO";"UIP (NO)";"11/01/2008";"660";"155 733";"";"";"";"";"";"";"";"";"";"";"";"";"156 393"
"PL";"UIP (PL)";"08/02/2008";"";"152 559";"";"";"";"";"";"";"";"";"";"";"";"";"152 559"
"PT";"ZON Lusomundo Audiovisuais";"17/01/2008";"";"211 038";"28";"";"";"";"";"";"";"";"";"";"";"";"211 066"
"RO";"Ro-Image 2000";"15/02/2008";"";"12 333";"";"";"";"";"";"";"";"";"";"";"";"";"12 333"
"SE";"UIP / Universal";"11/01/2008";"";"166 323";"39";"";"";"";"";"";"";"";"";"";"";"";"166 362"
"SI";"Karantanija Cinemas";"10/01/2008";"145";"9 998";"";"";"10";"";"";"";"";"";"";"";"";"10";"10 153"
"SK";"Tatra Film";"31/01/2008";"";"10 342";"37";"";"";"";"";"";"";"";"";"";"";"";"10 379"
"TR";"UIP (TR)";"26/10/2007";"70 011";"";"";"";"";"";"";"";"";"";"";"";"";"";"70 011"
"EUR EU";"";"";"3 077 007";"2 112 886";"2 703";"169";"90";"109";"4";"170";"147";"48";"169";"";"";"737";"5 193 502"
"EUR OBS";"";"";"3 203 158";"2 298 717";"2 706";"169";"90";"109";"4";"170";"147";"48";"169";"86";"20";"843";"5 505 593"
"US_CA";"Focus/Focus Features (US)";"07/12/2007";"1 889 689";"5 282 173";"";"";"";"";"";"";"";"";"";"";"";"";"7 171 862"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 28289"
