"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2007-2008";"Total since 2003"
"AT";"Cinestar Film";"30/07/2004";"";"7 291";"";"";"";"";"";"7 291"
"BE";"Cineart (BE)";"22/10/2003";"171 714";"3 398";"";"3 216";"";"";"";"178 328"
"BG";"Radivision";"10/12/2004";"";"7 795";"11 885";"";"";"";"";"19 680"
"CH";"Frenetic Films (CH)";"22/10/2003";"71 284";"35 102";"300";"";"";"";"";"106 686"
"CZ";"Hollywood";"26/02/2004";"";"48 797";"153";"";"";"168";"168";"49 118"
"DE";"Rekord Film";"17/06/2004";"";"53 590";"";"";"";"";"";"53 590"
"DK";"CCV";"12/12/2004";"";"322";"174";"";"";"";"";"496"
"EE";"MPDE";"16/04/2004";"";"2 073";"";"";"";"";"";"2 073"
"ES";"Tripictures";"02/07/2004";"";"120 622";"2 088";"";"213";"90";"303";"123 013"
"FI";"Future Film (FI)";"26/11/2004";"";"647";"51";"";"";"";"";"698"
"FR";"UGC Distribution";"22/10/2003";"2 910 000";"93 149";"";"11";"";"";"";"3 003 160"
"GB";"Cinefile (GB)";"13/10/2006";"";"";"";"736";"";"";"";"736"
"HU";"";"";"";"177 884";"";"";"";"";"";"177 884"
"IT";"";"";"250 570";"2 048";"80";"";"";"";"";"252 698"
"LT";"Acme (LT)";"07/02/2004";"";"5 480";"";"";"";"";"";"5 480"
"LU";"";"";"14 113";"116";"";"";"";"";"";"14 229"
"LV";"Acme (LV)";"19/03/2004";"";"8 936";"";"";"";"";"";"8 936"
"NL";"A-Film (NL)";"25/03/2004";"";"112";"";"";"";"";"";"112"
"NO";"";"";"";"4 257";"";"";"";"";"";"4 257"
"PL";"SPI Poland";"27/08/2004";"";"85 270";"242";"";"";"";"";"85 512"
"PT";"";"";"";"3 574";"";"";"";"";"";"3 574"
"RO";"Glob-Com";"09/07/2004";"";"16 393";"89";"";"";"";"";"16 482"
"SI";"Fivia";"01/04/2004";"";"9 084";"";"";"332";"25";"357";"9 441"
"SK";"Continental Film (SK)";"01/07/2004";"";"17 450";"102";"";"";"";"";"17 552"
"TR";"Ozen Film";"23/04/2004";"";"39 623";"";"";"";"";"";"39 623"
"EUR EU";"";"";"3 346 397";"664 031";"14 864";"3 963";"545";"283";"828";"4 030 083"
"EUR OBS";"";"";"3 417 681";"743 013";"15 164";"3 963";"545";"283";"828";"4 180 649"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20519"
