"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2004-2020";"Total since 2000"
"AT";"";"";"27 982";"49 745";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77 727"
"BE";"";"";"";"249 447";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"249 447"
"BG";"";"";"";"5 333";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 333"
"CH";"Universal Pictures (CH)";"30/11/2000";"111 999";"343 497";"";"";"";"";"";"";"9";"93";"31";"179";"416";"93";"16";"104";"30";"32";"68";"50";"30";"1 151";"456 647"
"CY";"";"";"";"1 766";"";"92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 858"
"CZ";"Bontonfilm";"01/02/2001";"";"32 480";"4 523";"1 644";"273";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"273";"38 920"
"DE";"UIP (DE)";"30/11/2000";"549 178";"824 057";"29 218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 402 453"
"DK";"UIP (DK)";"09/02/2001";"";"68 665";"2 049";"860";"1 464";"592";"437";"78";"";"";"42";"";"";"";"";"";"";"";"";"";"";"2 613";"74 187"
"ES";"Universal Pictures Int'l Spain";"28/12/2000";"250 464";"1 935 227";"229";"4";"";"12";"";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"32";"2 185 956"
"FI";"Finnkino";"09/02/2001";"";"";"1 144";"";"523";"293";"140";"2";"242";"";"1";"";"";"";"";"";"";"";"";"";"";"1 201";"2 345"
"FR";"Mars Films (FR)";"16/08/2000";"415 762";"2 020 635";"44 740";"44 998";"152 455";"";"17 373";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 831";"177 659";"2 703 794"
"GB";"UIP (GB)";"29/09/2000";"3 893 407";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"9";"";"11";"";"";"443";"508";"3 893 915"
"GR";"Odeon (GR)";"08/06/2001";"";"221 073";"";"3 204";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"224 277"
"HU";"";"";"";"25 252";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 252"
"IS";"";"";"";"9 534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 534"
"IT";"UIP (IT)";"23/02/2001";"";"1 154 600";"2 652";"";"";"";"";"";"";"";"";"";"";"";"313";"";"";"";"4";"";"";"317";"1 157 569"
"LU";"";"";"";"17 350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 350"
"LV";"";"";"";"3 664";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 664"
"MK";"Film Debate Club Lale (MK)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"55";"";"55";"55"
"NL";"Universal Pictures Int (NL)";"25/01/2001";"5 696";"152 718";"";"";"";"";"";"";"160";"";"";"104";"";"";"";"";"";"";"";"";"";"264";"158 678"
"NO";"UIP (NO)";"26/12/2000";"";"";"";"";"";"";"1 059";"956";"221";"";"359";"";"";"";"";"";"";"";"";"";"19";"2 614";"2 614"
"PL";"";"";"";"71 670";"1 964";"1 157";"1 009";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 009";"75 800"
"PT";"ZON Lusomundo Audiovisuais";"16/02/2001";"";"95 757";"64";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"4";"95 825"
"RO";"";"";"";"";"434";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"434"
"SE";"UIP / Universal";"22/12/2000";"13 773";"";"";"36";"";"57";"";"";"";"14";"19";"";"";"17";"";"";"";"";"";"";"";"107";"13 916"
"SI";"Karantanija Cinemas";"08/03/2001";"";"33 708";"";"";"";"";"";"";"150";"87";"";"";"";"126";"";"";"";"";"";"";"";"363";"34 071"
"TR";"";"";"";"50 943";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 943"
"EUR EU";"";"";"5 156 262";"6 963 147";"87 017";"51 995";"155 724";"954";"17 950";"100";"556";"101";"62";"104";"";"143";"358";"9";"";"11";"4";"";"8 274";"184 350";"12 442 771"
"EUR OBS";"";"";"5 268 261";"7 367 121";"87 017";"51 995";"155 724";"954";"19 009";"1 056";"786";"194";"452";"283";"416";"236";"374";"113";"30";"43";"72";"105";"8 323";"188 170";"12 962 564"
"US_CA";"";"";"3 108 219";"909 101";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 017 320"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15201"
