"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2006";"2007";"2006-2007";"Total since 2001"
"BE";"";"";"89 662";"";"";"";"";"";"";"89 662"
"BG";"";"";"4 033";"6 854";"";"";"";"";"";"10 887"
"CH";"";"";"32 886";"";"";"";"";"";"";"32 886"
"DK";"Angel Films";"20/09/2002";"";"2 165";"280";"";"";"";"";"2 445"
"ES";"Sherlock Media";"22/10/2001";"237 911";"6 027";"62";"11";"388";"";"388";"244 399"
"FI";"";"";"";"186";"";"";"";"";"";"186"
"FR";"";"";"2 465 004";"108";"";"6";"";"";"";"2 465 118"
"HU";"";"";"80 312";"";"190";"";"";"";"";"80 502"
"IS";"";"";"4 227";"";"";"";"";"";"";"4 227"
"IT";"";"";"";"";"3 600";"56";"";"";"";"3 656"
"LU";"";"";"9 700";"";"";"";"";"";"";"9 700"
"NL";"A-Film (NL)";"02/08/2001";"1 069";"";"55";"";"";"";"";"1 124"
"NO";"Scanbox (NO)";"09/08/2002";"";"1 992";"";"";"";"125";"125";"2 117"
"PL";"Monolith";"22/02/2002";"";"19 667";"";"";"";"";"";"19 667"
"PT";"";"";"39 898";"691";"";"";"";"";"";"40 589"
"RO";"New Films Intl.";"26/04/2002";"";"2 679";"";"";"";"";"";"2 679"
"RU";"";"";"93 000";"";"";"";"";"";"";"93 000"
"TR";"";"";"";"52 667";"";"";"";"";"";"52 667"
"EUR EU";"";"";"2 927 589";"38 377";"4 187";"73";"388";"";"388";"2 970 614"
"EUR OBS";"";"";"3 057 702";"93 036";"4 187";"73";"388";"125";"513";"3 155 511"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006, 2004, 2003, 2002, 2001"
" - film_id : 17972"
