"Market";"Distributor";"Release date";"2009";"2010";"Total since 2009"
"AT";"Universal Pictures (AT)";"19/06/2009";"48 013";"";"48 013"
"BE";"UPI (BE)";"17/06/2009";"60 000";"";"60 000"
"BG";"";"";"17 119";"";"17 119"
"CH";"UIP (CH)";"30/04/2009";"80 456";"42";"80 498"
"CZ";"Bontonfilm";"28/05/2009";"18 674";"20";"18 694"
"DE";"Universal Pictures (DE)";"18/06/2009";"451 317";"";"451 317"
"DK";"UIP (DK)";"29/05/2009";"21 083";"";"21 083"
"EE";"Forum Cinemas (EE)";"29/05/2009";"3 243";"";"3 243"
"ES";"Universal Pictures Int'l Spain";"16/04/2009";"736 537";"300";"736 837"
"FI";"Finnkino";"01/05/2009";"7 018";"";"7 018"
"FR";"StudioCanal (FR)";"24/06/2009";"686 203";"";"686 203"
"GB";"Universal Pictures (GB)";"24/04/2009";"1 030 691";"22 773";"1 053 464"
"HR";"Blitz Film & Video Distribution (HR)";"30/04/2009";"8 789";"";"8 789"
"HU";"UIP-Dunafilm";"28/05/2009";"39 501";"";"39 501"
"IT";"Universal (IT)";"30/04/2009";"410 399";"118";"410 517"
"LV";"Forum Cinemas (LV)";"";"3 862";"";"3 862"
"NL";"Universal Pictures Int (NL)";"18/06/2009";"42 964";"888";"43 852"
"NO";"UIP (NO)";"01/05/2009";"35 279";"";"35 279"
"PL";"UIP (PL)";"29/05/2009";"71 883";"";"71 883"
"PT";"ZON Lusomundo Audiovisuais";"18/06/2009";"91 331";"";"91 331"
"RO";"Ro-Image 2000";"29/05/2009";"23 411";"111";"23 522"
"SE";"UIP / Universal";"01/05/2009";"38 579";"";"38 579"
"SI";"Karantanija Cinemas";"28/05/2009";"7 871";"";"7 871"
"SK";"Tatra Film";"28/05/2009";"9 204";"";"9 204"
"TR";"UIP (TR)";"17/04/2009";"70 161";"";"70 161"
"EUR EU";"";"";"3 827 692";"24 210";"3 851 902"
"EUR OBS";"";"";"4 013 588";"24 252";"4 037 840"
"US_CA";"Universal Pictures (US)";"17/04/2009";"4 935 727";"";"4 935 727"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2009"
" - film_id : 32234"
