"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Filmladen";"27/01/2012";"";"60 911";"1 164";"164";"";"";"";"";"";"";"";"62 239"
"BE";"Cineart (BE)";"12/10/2011";"47 436";"72 011";"898";"";"";"";"";"";"27";"";"27";"120 372"
"BG";"Forum Film (BG)";"24/02/2012";"";"9 073";"";"";"";"";"";"";"";"";"";"9 073"
"CH";"Presence Production (CH)";"12/10/2011";"38 568";"118 380";"298";"58";"24";"48";"47";"253";"";"17";"389";"157 693"
"CZ";"HCE/Forum Film";"16/02/2012";"";"26 136";"788";"";"11";"";"";"";"";"";"11";"26 935"
"DE";"DCM Film Distribution (DE)";"26/01/2012";"";"674 766";"8 421";"306";"194";"663";"85";"33";"124";"114";"1 213";"684 706"
"DK";"Scanbox Entertainment (DK)";"09/02/2012";"";"79 862";"";"";"";"";"";"";"";"";"";"79 862"
"EE";"Acme (EE)";"09/12/2011";"1 942";"6 642";"21";"96";"";"";"";"";"";"";"";"8 701"
"ES";"Alta Classics";"25/11/2011";"102 246";"689 167";"512";"367";"";"";"31";"";"";"";"31";"792 323"
"FI";"Scanbox Finland";"02/03/2012";"";"30 515";"162";"";"";"";"";"";"";"";"";"30 677"
"FR";"Warner Bros. (FR)";"12/10/2011";"1 550 086";"1 590 267";"";"";"";"";"";"";"";"";"";"3 140 353"
"GB";"Entertainment (GB)";"30/12/2011";"118 985";"1 423 813";"";"103";"23";"129";"26";"";"";"";"178";"1 543 079"
"GR";"Feelgood";"22/12/2011";"19 802";"76 795";"105";"";"105";"";"";"";"";"";"105";"96 807"
"HR";"Duplicato";"01/03/2012";"";"7 357";"";"";"";"";"";"";"";"";"";"7 357"
"HU";"Forum-Hungary";"23/02/2012";"";"22 146";"";"";"45";"";"";"";"";"";"45";"22 191"
"IT";"Bim Distribuzione";"07/12/2011";"118 978";"502 010";"4 979";"36";"21";"156";"8";"";"";"30";"215";"626 218"
"LT";"Acme (LT)";"30/12/2011";"609";"6 276";"";"31";"42";"";"";"";"";"";"42";"6 958"
"LU";"Cineart (LU)";"14/10/2011";"3 005";"10 543";"";"";"";"";"";"";"";"";"";"13 548"
"LV";"Acme (LV)";"02/12/2011";"3 423";"4 272";"";"41";"";"";"";"";"";"";"";"7 736"
"NL";"Cinéart Nederland";"24/11/2011";"31 753";"109 218";"478";"47";"";"233";"129";"";"";"";"362";"141 858"
"NO";"Scanbox Entertainment (NO)";"24/02/2012";"";"22 419";"41";"";"";"";"";"";"";"";"";"22 460"
"PL";"Forum Film (PL)";"10/02/2012";"";"88 084";"";"";"";"";"";"";"";"";"";"88 084"
"PT";"Pepperview";"02/02/2012";"";"67 609";"";"";"";"";"";"";"";"";"";"67 609"
"RO";"Forum Film Romania";"24/02/2012";"";"15 123";"";"";"";"";"";"";"";"";"";"15 123"
"RU";"Artpokaz (RU)";"14/02/2012";"";"325 879";"1 735";"47";"";"";"";"";"1 051";"";"1 051";"328 712"
"SE";"Scanbox Entertainment (SE)";"09/03/2012";"";"59 291";"58";"";"";"";"";"";"";"";"";"59 349"
"SI";"Blitz Film & Video Distribution (SI)";"08/03/2012";"";"8 555";"576";"";"";"";"";"";"";"";"";"9 131"
"SK";"Forum Film Slovakia";"09/02/2012";"";"7 242";"98";"";"";"";"";"";"";"";"";"7 340"
"TR";"Tiglon";"27/01/2012";"";"57 110";"272";"";"";"";"";"";"";"460";"460";"57 842"
"EUR EU";"";"";"1 998 265";"5 647 684";"18 260";"1 191";"441";"1 181";"279";"33";"151";"144";"2 229";"7 667 629"
"EUR OBS";"";"";"2 036 833";"6 171 472";"20 606";"1 296";"465";"1 229";"326";"286";"1 202";"621";"4 129";"8 234 336"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37265"
