"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"Total since 2010"
"AT";"Universal Pictures (AT)";"01/04/2010";"103 281";"";"";"";"";"103 281"
"BE";"UIP (BE)";"07/04/2010";"202 750";"";"";"";"";"202 750"
"CH";"Universal Pictures (CH)";"01/04/2010";"58 571";"";"134";"";"123";"58 828"
"CZ";"Bontonfilm";"06/05/2010";"26 103";"2 731";"142";"295";"";"29 271"
"DE";"Universal Pictures (DE)";"01/04/2010";"656 682";"";"";"";"";"656 682"
"DK";"";"";"34 431";"";"";"";"";"34 431"
"EE";"Forum Cinemas (EE)";"30/04/2010";"924";"";"";"";"";"924"
"ES";"Universal Pictures Int'l Spain";"31/03/2010";"420 356";"366";"";"";"";"420 722"
"FI";"Finnkino";"04/06/2010";"8 358";"";"";"";"";"8 358"
"FR";"StudioCanal (FR)";"31/03/2010";"503 327";"";"";"";"";"503 327"
"GB";"Universal Pictures (GB)";"26/03/2010";"2 829 681";"";"";"";"90";"2 829 771"
"HU";"UIP-Dunafilm";"10/05/2010";"51 937";"";"";"";"";"51 937"
"IT";"Universal (IT)";"04/06/2010";"250 504";"1 172";"81";"";"";"251 757"
"LT";"Forum Cinemas / Universal";"03/04/2010";"5 800";"";"";"";"";"5 800"
"LV";"UIP (LV)";"23/04/2010";"6 017";"";"";"";"";"6 017"
"NL";"Universal Pictures Int (NL)";"25/03/2010";"193 655";"";"";"";"";"193 655"
"NO";"UIP (NO)";"04/06/2010";"38 425";"315";"";"";"";"38 740"
"PL";"UIP (PL)";"28/05/2010";"134 639";"";"";"";"";"134 639"
"PT";"ZON Lusomundo Audiovisuais";"10/06/2010";"91 889";"693";"";"";"";"92 582"
"RO";"Ro-Image 2000";"11/06/2010";"12 423";"";"";"";"";"12 423"
"RU";"Universal Pictures Russia";"22/04/2010";"194 804";"";"";"";"";"194 804"
"SE";"UIP / Universal";"11/06/2010";"14 773";"60";"";"";"";"14 833"
"TR";"UIP (TR)";"11/05/2010";"34 646";"";"";"";"";"34 646"
"EUR EU";"";"";"5 547 530";"5 022";"223";"295";"90";"5 553 160"
"EUR OBS";"";"";"5 873 976";"5 337";"357";"295";"213";"5 880 178"
"US_CA";"Universal Pictures (US)";"20/08/2010";"3 675 693";"";"";"";"";"3 675 693"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2013, 2012, 2011, 2010"
" - film_id : 34901"
