"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2013";"2016";"2009-2016";"Total since 2005"
"AT";"UIP (AT)";"03/02/2006";"";"168 007";"";"";"";"";"";"";"";"168 007"
"BE";"UIP (BE)";"15/02/2006";"";"299 176";"";"";"";"";"";"";"";"299 176"
"CH";"UIP (CH)";"09/02/2006";"";"74 533";"";"";"";"";"123";"";"123";"74 656"
"CZ";"Bontonfilm";"25/05/2006";"";"29 722";"10 819";"1 850";"378";"";"";"";"378";"42 769"
"DE";"UIP (DE)";"02/02/2006";"";"948 927";"";"";"";"";"";"";"";"948 927"
"DK";"UIP (DK)";"27/01/2006";"";"67 691";"734";"295";"";"";"";"";"";"68 720"
"EE";"Forum Cinemas (EE)";"24/03/2006";"";"3 336";"";"";"";"";"";"";"";"3 336"
"ES";"Universal Pictures Int'l Spain";"31/03/2006";"";"439 004";"143";"";"";"10 210";"";"";"10 210";"449 357"
"FI";"Buena Vista (FI)";"17/03/2006";"";"16 377";"";"";"";"";"";"";"";"16 377"
"FR";"StudioCanal (FR)";"08/02/2006";"";"746 353";"";"";"";"";"";"";"";"746 353"
"GB";"UIP (GB)";"21/10/2005";"3 517 382";"6 451";"";"";"";"";"";"12";"12";"3 523 845"
"HU";"UIP-Dunafilm";"16/02/2006";"";"77 947";"";"";"";"";"";"";"";"77 947"
"IS";"";"24/02/2006";"";"8 491";"";"";"";"";"";"";"";"8 491"
"IT";"Eagle Pictures";"07/04/2006";"";"204 304";"2 146";"249";"";"";"";"";"";"206 699"
"LU";"";"17/02/2006";"";"15 900";"";"";"";"";"";"";"";"15 900"
"LV";"Forum Cinemas (LV)";"17/03/2006";"";"12 732";"";"";"";"";"";"";"";"12 732"
"NL";"Universal Pictures Int (NL)";"09/02/2006";"";"287 400";"154";"300";"";"";"";"";"";"287 854"
"NO";"UIP (NO)";"17/02/2006";"";"87 726";"810";"256";"";"86";"";"";"86";"88 878"
"PL";"UIP (PL)";"17/02/2006";"";"150 200";"";"";"";"";"";"";"";"150 200"
"PT";"ZON Lusomundo Audiovisuais";"23/03/2006";"";"125 107";"301";"";"";"3";"";"";"3";"125 411"
"RO";"Ro-Image 2000";"";"";"5 364";"";"";"";"";"";"";"";"5 364"
"SE";"UIP / Universal";"17/02/2006";"";"46 053";"38";"";"";"";"";"";"";"46 091"
"SI";"Karantanija Cinemas";"09/03/2006";"";"9 866";"728";"654";"279";"163";"";"";"442";"11 690"
"SK";"Tatra Film";"14/09/2006";"";"9 832";"348";"130";"24";"";"";"";"24";"10 334"
"TR";"UIP (TR)";"24/02/2006";"";"110 187";"";"";"";"";"";"";"";"110 187"
"EUR EU";"";"";"3 517 382";"3 669 749";"15 411";"3 478";"681";"10 376";"";"12";"11 069";"7 217 089"
"EUR OBS";"";"";"3 517 382";"3 950 686";"16 221";"3 734";"681";"10 462";"123";"12";"11 278";"7 499 301"
"US_CA";"";"";"";"7 218 210";"";"";"";"";"";"";"";"7 218 210"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2013, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24338"
