"Market";"Distributor";"Release date";"2014";"2015";"2016";"Total since 2014"
"ES";"Hispano Foxfilms";"23/12/2013";"2 677 696";"17 012";"";"2 694 708"
"GB";"StudioCanal (GB)";"03/10/2014";"970";"209";"";"1 179"
"ME";"";"";"";"67";"67";"134"
"PL";"Best Film";"12/12/2014";"767";"";"";"767"
"EUR EU";"";"";"2 679 433";"17 221";"";"2 696 654"
"EUR OBS";"";"";"2 679 433";"17 288";"67";"2 696 788"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014"
" - film_id : 49005"
