"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"17/08/2017";"73 462";"";"";"";"73 462"
"BA";"Blitz Film & Video Distribution (BA)";"07/09/2017";"13 457";"";"";"";"13 457"
"BE";"Belga Films (BE)";"02/08/2017";"180 872";"18";"";"";"180 890"
"BG";"BS Films (BG)";"10/11/2017";"33 457";"1 316";"";"";"34 773"
"CH";"Impuls Pictures";"06/09/2017";"77 465";"3 519";"";"";"80 984"
"CY";"Odeon (CY)";"24/08/2017";"4 587";"";"";"";"4 587"
"CZ";"Vertical Entertainment (CZ)";"09/11/2017";"90 840";"12 452";"";"";"103 292"
"DE";"StudioCanal (DE)";"17/08/2017";"290 760";"16 550";"227";"";"307 537"
"DK";"SF Studios (DK)";"27/07/2017";"36 219";"340";"127";"";"36 686"
"EE";"Acme (EE)";"20/10/2017";"53 572";"";"";"";"53 572"
"ES";"Flins y piniculas";"25/02/2018";"";"508 468";"334";"";"508 802"
"FI";"SF Film Finland [FS Film]";"01/09/2017";"26 712";"88";"";"";"26 800"
"FR";"StudioCanal (FR)";"16/08/2017";"675 731";"";"";"";"675 731"
"GB";"StudioCanal (GB)";"03/11/2017";"7 185";"1 080";"";"";"8 265"
"GR";"Odeon (GR)";"17/08/2017";"58 103";"1 513";"";"";"59 616"
"HR";"Blitz Film & Video Distribution (HR)";"07/09/2017";"56 493";"";"";"";"56 493"
"HU";"Vertical Entertainment (HU)";"07/09/2017";"68 526";"531";"";"";"69 057"
"IS";"Myndform";"07/09/2017";"7 398";"";"";"";"7 398"
"IT";"Koch Media (IT)";"25/01/2018";"";"273 679";"378";"";"274 057"
"LT";"Acme (LT)";"20/10/2017";"51 467";"542";"";"";"52 009"
"LU";"";"";"7 421";"";"";"";"7 421"
"LV";"Acme (LV)";"20/10/2017";"38 686";"";"";"66";"38 752"
"ME";"Blitz Film & Video (ME)";"";"4 176";"";"252";"";"4 428"
"MK";"Blitz Film (MK)";"";"4 689";"";"";"";"4 689"
"NL";"Independent Films (NL)";"26/07/2017";"178 932";"267";"";"";"179 199"
"NO";"SF Norway";"28/07/2017";"67 634";"";"";"";"67 634"
"PL";"Monolith";"28/07/2017";"295 266";"7 067";"2 773";"";"305 106"
"PT";"Cinemundo (PT)";"07/09/2017";"65 454";"55";"";"233";"65 742"
"RO";"Vertical Ent. (RO)";"03/11/2017";"85 350";"2 998";"";"";"88 348"
"RU";"Volga (RU)";"27/07/2017";"674 150";"986";"";"";"675 136"
"SE";"SF Film (SE)";"28/07/2017";"37 555";"";"";"";"37 555"
"SI";"Blitz Film & Video Distribution (SI)";"09/11/2017";"15 741";"2 246";"";"";"17 987"
"SK";"Forum Film Slovakia";"07/09/2017";"45 264";"1 795";"";"";"47 059"
"TR";"CGV Mars Dagitim (TR)";"15/09/2017";"88 487";"655";"";"";"89 142"
"EUR EU";"";"";"2 477 655";"831 005";"3 839";"299";"3 312 798"
"EUR OBS";"";"";"3 415 111";"836 165";"4 091";"299";"4 255 666"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72862"
